len(N),E,ns
  1,-20 ,      18.2
  1,-19 ,      14.6
  1,-18 ,      17.1
  1,-17 ,      18.3
  1,-16 ,      14.8
  1,-15 ,      15.9
  1,-14 ,      18.2
  1,-13 ,      18.4
  1,-12 ,      15.9
  1,-11 ,      18.3
  1,-10 ,      18.4
  1, -9 ,      15.5
  1, -8 ,      18.1
  1, -7 ,      17.0
  1, -6 ,      14.2
  1, -5 ,      15.6
  1, -4 ,      16.9
  1, -3 ,      14.3
  1, -2 ,      15.5
  1, -1 ,      17.2
  1,  0 ,      7.49
  1,  1 ,      7.96
  1,  2 ,      8.14
  1,  3 ,      8.29
  1,  4 ,      7.75
  1,  5 ,      7.76
  1,  6 ,      8.06
  1,  7 ,      8.53
  1,  8 ,      7.04
  1,  9 ,      11.9
  1, 10 ,      9.46
  1, 11 ,      9.20
  1, 12 ,      8.26
  1, 13 ,      8.46
  1, 14 ,      8.70
  1, 15 ,      9.09
  1, 16 ,      14.4
  1, 17 ,      18.2
  1, 18 ,      18.6
  1, 19 ,      16.0
  1, 20 ,      18.5
  2,-20 ,      15.4
  2,-19 ,      17.2
  2,-18 ,      18.8
  2,-17 ,      15.1
  2,-16 ,      17.0
  2,-15 ,      18.7
  2,-14 ,      18.1
  2,-13 ,      16.9
  2,-12 ,      18.6
  2,-11 ,      18.3
  2,-10 ,      16.1
  2, -9 ,      18.1
  2, -8 ,      16.8
  2, -7 ,      14.6
  2, -6 ,      16.5
  2, -5 ,      16.8
  2, -4 ,      14.4
  2, -3 ,      16.3
  2, -2 ,      17.0
  2, -1 ,      15.5
  2,  0 ,      8.18
  2,  1 ,      8.08
  2,  2 ,      8.29
  2,  3 ,      8.87
  2,  4 ,      7.76
  2,  5 ,      8.05
  2,  6 ,      8.54
  2,  7 ,      8.76
  2,  8 ,      11.5
  2,  9 ,      9.42
  2, 10 ,      9.18
  2, 11 ,      9.75
  2, 12 ,      8.48
  2, 13 ,      8.70
  2, 14 ,      10.3
  2, 15 ,      15.3
  2, 16 ,      18.8
  2, 17 ,      18.0
  2, 18 ,      17.0
  2, 19 ,      18.5
  2, 20 ,      18.4
  3,-20 ,      17.0
  3,-19 ,      18.5
  3,-18 ,      14.6
  3,-17 ,      16.7
  3,-16 ,      18.5
  3,-15 ,      18.1
  3,-14 ,      16.6
  3,-13 ,      18.3
  3,-12 ,      18.2
  3,-11 ,      16.0
  3,-10 ,      18.1
  3, -9 ,      16.7
  3, -8 ,      14.6
  3, -7 ,      16.4
  3, -6 ,      16.6
  3, -5 ,      14.4
  3, -4 ,      16.4
  3, -3 ,      16.9
  3, -2 ,      15.4
  3, -1 ,      16.8
  3,  0 ,      8.08
  3,  1 ,      8.03
  3,  2 ,      8.88
  3,  3 ,      8.79
  3,  4 ,      8.05
  3,  5 ,      8.25
  3,  6 ,      8.76
  3,  7 ,      13.7
  3,  8 ,      9.43
  3,  9 ,      8.92
  3, 10 ,      9.76
  3, 11 ,      9.73
  3, 12 ,      8.70
  3, 13 ,      9.94
  3, 14 ,      15.3
  3, 15 ,      18.5
  3, 16 ,      17.9
  3, 17 ,      16.5
  3, 18 ,      18.4
  3, 19 ,      20.5
  3, 20 ,      18.9
  4,-20 ,      19.3
  4,-19 ,      14.7
  4,-18 ,      17.0
  4,-17 ,      19.3
  4,-16 ,      19.4
  4,-15 ,      16.8
  4,-14 ,      18.9
  4,-13 ,      19.5
  4,-12 ,      16.3
  4,-11 ,      18.9
  4,-10 ,      17.8
  4, -9 ,      15.1
  4, -8 ,      17.4
  4, -7 ,      17.7
  4, -6 ,      15.1
  4, -5 ,      17.1
  4, -4 ,      17.7
  4, -3 ,      15.8
  4, -2 ,      17.4
  4, -1 ,      18.2
  4,  0 ,      8.03
  4,  1 ,      8.87
  4,  2 ,      8.80
  4,  3 ,      9.44
  4,  4 ,      8.26
  4,  5 ,      8.76
  4,  6 ,      13.7
  4,  7 ,      11.2
  4,  8 ,      8.93
  4,  9 ,      9.74
  4, 10 ,      9.70
  4, 11 ,      9.97
  4, 12 ,      10.0
  4, 13 ,      15.7
  4, 14 ,      19.0
  4, 15 ,      19.3
  4, 16 ,      16.7
  4, 17 ,      17.3
  4, 18 ,      21.4
  4, 19 ,      18.9
  4, 20 ,      20.4
  5,-20 ,      17.3
  5,-19 ,      19.0
  5,-18 ,      20.4
  5,-17 ,      19.9
  5,-16 ,      18.9
  5,-15 ,      20.2
  5,-14 ,      19.9
  5,-13 ,      18.3
  5,-12 ,      20.0
  5,-11 ,      18.3
  5,-10 ,      16.5
  5, -9 ,      18.3
  5, -8 ,      18.3
  5, -7 ,      16.7
  5, -6 ,      18.3
  5, -5 ,      18.3
  5, -4 ,      17.2
  5, -3 ,      18.8
  5, -2 ,      19.1
  5, -1 ,      16.3
  5,  0 ,      9.41
  5,  1 ,      8.81
  5,  2 ,      9.43
  5,  3 ,      9.40
  5,  4 ,      8.78
  5,  5 ,      13.6
  5,  6 ,      11.3
  5,  7 ,      10.5
  5,  8 ,      9.76
  5,  9 ,      9.69
  5, 10 ,      9.97
  5, 11 ,      11.1
  5, 12 ,      17.1
  5, 13 ,      20.3
  5, 14 ,      19.8
  5, 15 ,      18.8
  5, 16 ,      21.2
  5, 17 ,      21.3
  5, 18 ,      19.9
  5, 19 ,      21.0
  5, 20 ,      21.0
  6,-20 ,      19.0
  6,-19 ,      20.4
  6,-18 ,      19.9
  6,-17 ,      18.9
  6,-16 ,      20.3
  6,-15 ,      20.0
  6,-14 ,      18.3
  6,-13 ,      20.0
  6,-12 ,      18.3
  6,-11 ,      16.5
  6,-10 ,      18.4
  6, -9 ,      18.2
  6, -8 ,      16.3
  6, -7 ,      18.2
  6, -6 ,      18.3
  6, -5 ,      17.2
  6, -4 ,      18.7
  6, -3 ,      19.1
  6, -2 ,      16.3
  6, -1 ,      18.2
  6,  0 ,      8.79
  6,  1 ,      9.44
  6,  2 ,      9.41
  6,  3 ,      9.74
  6,  4 ,      13.6
  6,  5 ,      11.3
  6,  6 ,      10.5
  6,  7 ,      10.6
  6,  8 ,      9.69
  6,  9 ,      9.95
  6, 10 ,      11.1
  6, 11 ,      17.1
  6, 12 ,      20.2
  6, 13 ,      19.7
  6, 14 ,      17.9
  6, 15 ,      22.0
  6, 16 ,      21.1
  6, 17 ,      19.8
  6, 18 ,      21.0
  6, 19 ,      21.3
  6, 20 ,      19.7
  7,-20 ,      20.4
  7,-19 ,      19.9
  7,-18 ,      18.8
  7,-17 ,      20.4
  7,-16 ,      20.0
  7,-15 ,      18.4
  7,-14 ,      20.0
  7,-13 ,      18.3
  7,-12 ,      16.5
  7,-11 ,      18.3
  7,-10 ,      18.2
  7, -9 ,      16.3
  7, -8 ,      18.2
  7, -7 ,      18.3
  7, -6 ,      17.2
  7, -5 ,      18.8
  7, -4 ,      19.1
  7, -3 ,      17.3
  7, -2 ,      18.2
  7, -1 ,      19.0
  7,  0 ,      9.46
  7,  1 ,      9.41
  7,  2 ,      9.69
  7,  3 ,      14.2
  7,  4 ,      11.3
  7,  5 ,      10.5
  7,  6 ,      10.6
  7,  7 ,      10.6
