len(N),E,ns
  1,-20   ,     29.8
  1,-19   ,     21.8
  1,-18   ,     24.3
  1,-17   ,     23.7
  1,-16   ,     26.4
  1,-15   ,     28.8
  1,-14   ,     28.0
  1,-13   ,     30.9
  1,-12   ,     31.6
  1,-11   ,     20.8
  1,-10   ,     24.4
  1, -9   ,     25.5
  1, -8   ,     27.1
  1, -7   ,     24.6
  1, -6   ,     30.5
  1, -5   ,     28.4
  1, -4   ,     29.4
  1, -3   ,     19.5
  1, -2   ,     23.5
  1, -1   ,     25.7
  1,  0   ,     9.65
  1,  1   ,     9.65
  1,  2   ,     10.1
  1,  3   ,     9.86
  1,  4   ,     10.4
  1,  5   ,     10.4
  1,  6   ,     11.0
  1,  7   ,     10.9
  1,  8   ,     11.2
  1,  9   ,     14.7
  1, 10   ,     11.5
  1, 11   ,     13.4
  1, 12   ,     12.0
  1, 13   ,     11.5
  1, 14   ,     12.6
  1, 15   ,     12.3
  1, 16   ,     22.3
  1, 17   ,     24.9
  1, 18   ,     26.3
  1, 19   ,     27.7
  1, 20   ,     28.1
  2,-20   ,     21.9
  2,-19   ,     23.6
  2,-18   ,     25.1
  2,-17   ,     26.4
  2,-16   ,     28.2
  2,-15   ,     29.7
  2,-14   ,     30.7
  2,-13   ,     30.9
  2,-12   ,     21.4
  2,-11   ,     22.6
  2,-10   ,     24.9
  2, -9   ,     26.3
  2, -8   ,     27.4
  2, -7   ,     29.1
  2, -6   ,     30.5
  2, -5   ,     29.1
  2, -4   ,     21.6
  2, -3   ,     23.1
  2, -2   ,     24.7
  2, -1   ,     26.6
  2,  0   ,     9.63
  2,  1   ,     10.1
  2,  2   ,     9.86
  2,  3   ,     10.4
  2,  4   ,     10.4
  2,  5   ,     10.9
  2,  6   ,     10.9
  2,  7   ,     11.3
  2,  8   ,     14.1
  2,  9   ,     11.5
  2, 10   ,     11.1
  2, 11   ,     12.1
  2, 12   ,     11.5
  2, 13   ,     12.5
  2, 14   ,     13.7
  2, 15   ,     21.4
  2, 16   ,     23.9
  2, 17   ,     25.5
  2, 18   ,     26.9
  2, 19   ,     27.3
  2, 20   ,     20.3
  3,-20   ,     22.2
  3,-19   ,     23.7
  3,-18   ,     25.3
  3,-17   ,     26.8
  3,-16   ,     28.5
  3,-15   ,     29.9
  3,-14   ,     31.1
  3,-13   ,     23.2
  3,-12   ,     22.0
  3,-11   ,     23.5
  3,-10   ,     25.0
  3, -9   ,     26.7
  3, -8   ,     28.6
  3, -7   ,     29.8
  3, -6   ,     30.0
  3, -5   ,     22.5
  3, -4   ,     22.0
  3, -3   ,     23.5
  3, -2   ,     25.8
  3, -1   ,     27.2
  3,  0   ,     10.1
  3,  1   ,     9.88
  3,  2   ,     10.4
  3,  3   ,     10.4
  3,  4   ,     10.9
  3,  5   ,     10.9
  3,  6   ,     11.2
  3,  7   ,     14.2
  3,  8   ,     11.7
  3,  9   ,     11.0
  3, 10   ,     12.0
  3, 11   ,     11.5
  3, 12   ,     12.5
  3, 13   ,     13.7
  3, 14   ,     20.4
  3, 15   ,     22.6
  3, 16   ,     24.1
  3, 17   ,     26.0
  3, 18   ,     27.2
  3, 19   ,     52.3
  3, 20   ,     36.7
  4,-20   ,     22.4
  4,-19   ,     23.9
  4,-18   ,     25.6
  4,-17   ,     27.1
  4,-16   ,     28.7
  4,-15   ,     30.7
  4,-14   ,     24.3
  4,-13   ,     23.3
  4,-12   ,     22.0
  4,-11   ,     23.5
  4,-10   ,     24.8
  4, -9   ,     26.0
  4, -8   ,     27.8
  4, -7   ,     29.6
  4, -6   ,     23.7
  4, -5   ,     22.4
  4, -4   ,     21.5
  4, -3   ,     24.1
  4, -2   ,     25.7
