len(N),E,ns
  1,-20,      28.7
  1,-19,      28.7
  1,-18,      29.6
  1,-17,      28.7
  1,-16,      28.7
  1,-15,      29.6
  1,-14,      28.7
  1,-13,      28.7
  1,-12,      27.8
  1,-11,      28.6
  1,-10,      28.7
  1, -9,      29.0
  1, -8,      28.6
  1, -7,      27.6
  1, -6,      26.6
  1, -5,      28.6
  1, -4,      27.6
  1, -3,      26.6
  1, -2,      28.6
  1, -1,      28.3
  1,  0,      11.1
  1,  1,      11.0
  1,  2,      11.3
  1,  3,      11.3
  1,  4,      11.9
  1,  5,      11.8
  1,  6,      12.6
  1,  7,      12.5
  1,  8,      13.0
  1,  9,      16.1
  1, 10,      13.3
  1, 11,      12.9
  1, 12,      13.8
  1, 13,      13.3
  1, 14,      14.0
  1, 15,      13.6
  1, 16,      27.3
  1, 17,      28.4
  1, 18,      29.6
  1, 19,      28.6
  1, 20,      29.7
  2,-20,      27.3
  2,-19,      28.4
  2,-18,      27.9
  2,-17,      27.4
  2,-16,      28.5
  2,-15,      27.9
  2,-14,      27.4
  2,-13,      27.0
  2,-12,      28.0
  2,-11,      27.4
  2,-10,      28.5
  2, -9,      27.9
  2, -8,      26.6
  2, -7,      26.2
  2, -6,      27.1
  2, -5,      26.6
  2, -4,      26.3
  2, -3,      27.3
  2, -2,      26.8
  2, -1,      28.2
  2,  0,      11.0
  2,  1,      11.3
  2,  2,      11.3
  2,  3,      11.9
  2,  4,      11.8
  2,  5,      12.6
  2,  6,      12.4
  2,  7,      13.0
  2,  8,      15.5
  2,  9,      13.3
  2, 10,      12.9
  2, 11,      13.8
  2, 12,      13.3
  2, 13,      14.0
  2, 14,      15.8
  2, 15,      27.7
  2, 16,      27.3
  2, 17,      28.2
  2, 18,      27.8
  2, 19,      28.7
  2, 20,      28.8
  3,-20,      29.0
  3,-19,      28.3
  3,-18,      27.9
  3,-17,      29.1
  3,-16,      28.4
  3,-15,      28.0
  3,-14,      27.6
  3,-13,      28.5
  3,-12,      28.0
  3,-11,      29.2
  3,-10,      28.5
  3, -9,      27.4
  3, -8,      27.0
  3, -7,      28.0
  3, -6,      27.6
  3, -5,      27.0
  3, -4,      28.0
  3, -3,      27.5
  3, -2,      28.1
  3, -1,      29.5
  3,  0,      11.3
  3,  1,      11.3
  3,  2,      11.9
  3,  3,      11.8
  3,  4,      12.5
  3,  5,      12.5
  3,  6,      13.0
  3,  7,      15.7
  3,  8,      13.3
  3,  9,      12.9
  3, 10,      13.8
  3, 11,      13.4
  3, 12,      14.0
  3, 13,      15.8
  3, 14,      27.3
  3, 15,      27.9
  3, 16,      28.8
  3, 17,      28.4
  3, 18,      29.2
  3, 19,      33.2
  3, 20,      30.8
  4,-20,      27.8
  4,-19,      27.3
  4,-18,      28.7
  4,-17,      27.9
  4,-16,      27.4
  4,-15,      27.0
  4,-14,      28.0
  4,-13,      27.4
  4,-12,      28.7
  4,-11,      28.1
  4,-10,      26.9
  4, -9,      26.5
  4, -8,      27.6
  4, -7,      27.0
  4, -6,      26.5
  4, -5,      27.7
  4, -4,      27.1
  4, -3,      27.7
  4, -2,      28.9
  4, -1,      28.6
  4,  0,      11.3
  4,  1,      11.9
  4,  2,      11.8
  4,  3,      12.6
  4,  4,      12.5
  4,  5,      13.0
  4,  6,      15.5
  4,  7,      13.3
  4,  8,      12.9
  4,  9,      13.8
  4, 10,      13.3
  4, 11,      14.0
  4, 12,      15.7
  4, 13,      27.4
  4, 14,      27.5
  4, 15,      28.4
  4, 16,      28.0
  4, 17,      28.9
  4, 18,      32.9
  4, 19,      29.0
  4, 20,      29.4
  5,-20,      28.3
  5,-19,      29.5
  5,-18,      28.8
  5,-17,      28.3
  5,-16,      27.9
  5,-15,      28.9
  5,-14,      28.4
  5,-13,      29.8
  5,-12,      29.2
  5,-11,      27.7
  5,-10,      27.3
  5, -9,      28.2
  5, -8,      27.7
  5, -7,      27.3
  5, -6,      28.3
  5, -5,      27.8
  5, -4,      27.9
  5, -3,      29.0
  5, -2,      29.1
  5, -1,      28.5
  5,  0,      11.9
  5,  1,      11.8
  5,  2,      12.6
  5,  3,      12.4
