len(N),E,ns
  1,-20    ,  22.8
  1,-19    ,  19.1
  1,-18    ,  22.1
  1,-17    ,  22.9
  1,-16    ,  19.2
  1,-15    ,  20.6
  1,-14    ,  22.9
  1,-13    ,  22.8
  1,-12    ,  20.7
  1,-11    ,  23.0
  1,-10    ,  22.7
  1, -9    ,  20.2
  1, -8    ,  22.4
  1, -7    ,  21.2
  1, -6    ,  19.3
  1, -5    ,  20.3
  1, -4    ,  21.1
  1, -3    ,  19.1
  1, -2    ,  20.3
  1, -1    ,  21.3
  1,  0    ,  7.57
  1,  1    ,  8.02
  1,  2    ,  7.99
  1,  3    ,  8.45
  1,  4    ,  7.54
  1,  5    ,  7.76
  1,  6    ,  7.98
  1,  7    ,  8.23
  1,  8    ,  6.81
  1,  9    ,  11.6
  1, 10    ,  9.21
  1, 11    ,  9.17
  1, 12    ,  8.23
  1, 13    ,  8.23
  1, 14    ,  8.45
  1, 15    ,  8.70
  1, 16    ,  19.3
  1, 17    ,  23.0
  1, 18    ,  22.7
  1, 19    ,  20.6
  1, 20    ,  22.9
  2,-20    ,  19.9
  2,-19    ,  22.1
  2,-18    ,  23.0
  2,-17    ,  19.6
  2,-16    ,  21.8
  2,-15    ,  23.0
  2,-14    ,  22.4
  2,-13    ,  21.7
  2,-12    ,  23.0
  2,-11    ,  22.6
  2,-10    ,  20.8
  2, -9    ,  22.3
  2, -8    ,  20.9
  2, -7    ,  19.4
  2, -6    ,  21.0
  2, -5    ,  20.9
  2, -4    ,  19.2
  2, -3    ,  20.9
  2, -2    ,  21.2
  2, -1    ,  19.7
  2,  0    ,  8.02
  2,  1    ,  7.99
  2,  2    ,  8.45
  2,  3    ,  8.47
  2,  4    ,  7.76
  2,  5    ,  7.99
  2,  6    ,  8.23
  2,  7    ,  8.40
  2,  8    ,  11.2
  2,  9    ,  9.21
  2, 10    ,  9.18
  2, 11    ,  9.17
  2, 12    ,  8.23
  2, 13    ,  8.45
  2, 14    ,  10.1
  2, 15    ,  20.1
  2, 16    ,  23.2
  2, 17    ,  22.5
  2, 18    ,  21.6
  2, 19    ,  23.0
  2, 20    ,  22.6
  3,-20    ,  22.2
  3,-19    ,  22.9
  3,-18    ,  19.4
  3,-17    ,  21.7
  3,-16    ,  23.0
  3,-15    ,  22.4
  3,-14    ,  21.5
  3,-13    ,  22.9
  3,-12    ,  22.5
  3,-11    ,  20.7
  3,-10    ,  22.1
  3, -9    ,  20.8
  3, -8    ,  19.2
  3, -7    ,  20.8
  3, -6    ,  20.9
  3, -5    ,  19.0
  3, -4    ,  20.7
  3, -3    ,  21.0
  3, -2    ,  21.3
  3, -1    ,  21.5
  3,  0    ,  7.98
  3,  1    ,  8.22
  3,  2    ,  8.48
  3,  3    ,  8.69
  3,  4    ,  8.00
  3,  5    ,  7.99
  3,  6    ,  8.38
  3,  7    ,  12.8
  3,  8    ,  9.20
  3,  9    ,  8.92
  3, 10    ,  9.19
  3, 11    ,  9.16
  3, 12    ,  8.47
  3, 13    ,  9.87
  3, 14    ,  20.3
  3, 15    ,  23.1
  3, 16    ,  22.4
  3, 17    ,  21.4
  3, 18    ,  22.9
  3, 19    ,  22.5
  3, 20    ,  21.1
  4,-20    ,  23.6
  4,-19    ,  19.6
  4,-18    ,  22.0
  4,-17    ,  23.6
  4,-16    ,  23.5
  4,-15    ,  21.9
  4,-14    ,  23.4
  4,-13    ,  23.6
  4,-12    ,  20.8
  4,-11    ,  22.7
  4,-10    ,  22.1
  4, -9    ,  19.6
  4, -8    ,  21.5
  4, -7    ,  22.0
  4, -6    ,  19.4
  4, -5    ,  21.4
  4, -4    ,  22.1
  4, -3    ,  19.9
  4, -2    ,  22.0
  4, -1    ,  22.8
  4,  0    ,  8.22
  4,  1    ,  8.47
  4,  2    ,  8.70
  4,  3    ,  8.94
