len(N),E,ns
1,-22,109
1,-21,112
1,-20,109
1,-19,109
1,-18,112
1,-17,110
1,-16,109
1,-15,112
1,-14,109
1,-13,109
1,-12,107
1,-11,109
1,-10,109
1,-9,106
1,-8,109
1,-7,109
1,-6,107
1,-5,112
1,-4,113
1,-3,110
1,-2,113
1,-1,116
1,0,31.3
1,1,38.0
1,2,40.3
1,3,45.9
1,4,47.4
1,5,48.9
1,6,45.1
1,7,48.2
1,8,51.2
1,9,53.8
1,10,56.5
1,11,59.7
1,12,62.3
1,13,65.0
1,14,68.0
1,15,70.5
1,16,156
1,17,166
1,18,172
1,19,174
1,20,178
1,21,181
1,22,166
2,-22,108
2,-21,105
2,-20,104
2,-19,107
2,-18,105
2,-17,105
2,-16,108
2,-15,107
2,-14,104
2,-13,104
2,-12,106
2,-11,104
2,-10,104
2,-9,106
2,-8,107
2,-7,105
2,-6,106
2,-5,108
2,-4,107
2,-3,113
2,-2,110
2,-1,111
2,0,29.1
2,1,37.4
2,2,40.1
2,3,42.4
2,4,46.5
2,5,44.4
2,6,46.5
2,7,49.6
2,8,52.2
2,9,55.0
2,10,57.7
2,11,60.8
2,12,63.7
2,13,66.3
2,14,76.1
2,15,150
2,16,160
2,17,165
2,18,168
2,19,172
2,20,176
2,21,138
2,22,123
3,-22,102
3,-21,101
3,-20,104
3,-19,102
3,-18,101
3,-17,104
3,-16,103
3,-15,101
3,-14,100
3,-13,104
3,-12,101
3,-11,100
3,-10,104
3,-9,101
3,-8,101
3,-7,104
3,-6,105
3,-5,106
3,-4,105
3,-3,106
3,-2,106
3,-1,111
3,0,30.6
3,1,37.8
3,2,39.7
3,3,40.2
3,4,38.8
3,5,40.9
3,6,44.3
3,7,46.6
3,8,49.4
3,9,52.7
3,10,54.9
3,11,57.6
3,12,61.1
3,13,70.9
3,14,145
3,15,154
3,16,159
3,17,161
3,18,167
3,19,158
3,20,121
3,21,114
3,22,111
4,-22,97.2
4,-21,101
4,-20,99.3
4,-19,97.6
4,-18,102
4,-17,99.1
4,-16,97.7
4,-15,97.8
4,-14,99.7
4,-13,98.8
4,-12,97.0
4,-11,99.6
4,-10,98.0
4,-9,96.8
4,-8,99.8
4,-7,105
4,-6,102
4,-5,102
4,-4,102
4,-3,101
4,-2,104
4,-1,105
4,0,29.1
4,1,37.5
4,2,39.3
4,3,37.5
4,4,40.3
4,5,42.2
4,6,50.0
4,7,48.2
4,8,50.7
4,9,53.5
4,10,56.3
4,11,59.1
4,12,68.9
4,13,139
4,14,147
4,15,152
4,16,154
4,17,159
4,18,133
4,19,111
4,20,109
4,21,106
4,22,105
5,-22,97.7
5,-21,97.2
5,-20,95.0
5,-19,98.1
5,-18,95.9
5,-17,94.8
5,-16,94.1
5,-15,97.1
5,-14,94.6
5,-13,93.3
5,-12,96.0
5,-11,94.8
5,-10,93.9
5,-9,96.8
5,-8,98.4
5,-7,97.8
5,-6,99.7
5,-5,98.9
5,-4,98.6
5,-3,99.7
5,-2,101
5,-1,102
5,0,29.5
5,1,38.1
5,2,35.0
5,3,36.7
5,4,39.1
5,5,41.5
5,6,45.7
5,7,47.0
5,8,50.1
5,9,52.7
5,10,56.0
5,11,65.2
5,12,133
5,13,140
5,14,145
5,15,148
5,16,148
5,17,116
5,18,104
5,19,106
5,20,104
5,21,102
5,22,105
6,-22,92.5
6,-21,90.9
6,-20,94.5
6,-19,93.1
6,-18,91.4
6,-17,90.8
6,-16,92.7
6,-15,91.8
6,-14,90.3
6,-13,93.1
6,-12,91.7
6,-11,91.3
6,-10,93.5
6,-9,96.2
6,-8,93.9
6,-7,98.2
6,-6,95.1
6,-5,94.3
6,-4,97.6
6,-3,96.9
6,-2,95.2
6,-1,101
6,0,29.0
6,1,33.8
6,2,35.6
6,3,37.7
6,4,39.6
6,5,42.6
6,6,45.1
6,7,47.5
6,8,50.2
6,9,53.4
6,10,62.1
6,11,125
6,12,132
6,13,139
6,14,141
6,15,129
6,16,109
6,17,100
6,18,103
6,19,101
6,20,98.7
6,21,102
6,22,100
7,-22,90.2
7,-21,93.5
7,-20,91.6
7,-19,90.0
7,-18,89.6
7,-17,91.9
7,-16,90.6
7,-15,89.3
7,-14,92.2
7,-13,90.5
7,-12,89.2
7,-11,92.4
7,-10,93.1
7,-9,91.1
7,-8,93.0
7,-7,92.7
7,-6,93.2
7,-5,96.1
7,-4,93.1
7,-3,94.0
7,-2,95.0
7,-1,98.4
7,0,33.7
7,1,35.3
7,2,36.6
7,3,39.9
7,4,41.2
7,5,43.5
7,6,45.6
7,7,48.7
7,8,50.7
7,9,61.0
7,10,120
7,11,129
7,12,133
7,13,134
7,14,114
7,15,102
7,16,98.2
7,17,101
7,18,99.8
7,19,97.3
7,20,100
7,21,99.6
7,22,97.8
8,-22,90.3
8,-21,88.7
8,-20,87.2
8,-19,87.4
8,-18,88.9
8,-17,87.2
8,-16,85.9
8,-15,89.6
8,-14,87.4
8,-13,86.2
8,-12,89.2
8,-11,89.4
8,-10,88.0
8,-9,91.4
8,-8,89.0
8,-7,88.3
8,-6,92.0
8,-5,89.6
8,-4,88.3
8,-3,91.8
8,-2,91.3
8,-1,89.0
8,0,33.8
8,1,35.4
8,2,37.4
8,3,39.8
8,4,41.8
8,5,44.2
8,6,47.2
8,7,49.6
8,8,58.9
8,9,115
8,10,120
8,11,126
8,12,120
8,13,104
8,14,97.4
8,15,95.0
8,16,97.7
8,17,96.3
8,18,94.8
8,19,98.9
8,20,96.9
8,21,94.6
8,22,99.2
9,-22,84.9
9,-21,83.3
9,-20,83.2
9,-19,85.2
9,-18,83.8
9,-17,82.7
9,-16,85.5
9,-15,84.1
9,-14,82.6
9,-13,85.6
9,-12,86.0
9,-11,84.8
9,-10,88.0
9,-9,85.9
9,-8,85.2
9,-7,87.9
9,-6,86.8
9,-5,85.8
9,-4,88.2
9,-3,88.3
9,-2,83.4
9,-1,88.4
9,0,34.1
9,1,35.2
9,2,36.9
9,3,38.7
9,4,41.0
9,5,43.1
9,6,45.9
9,7,54.9
9,8,108
9,9,114
9,10,119
9,11,104
9,12,96.5
9,13,93.6
9,14,91.9
9,15,94.3
9,16,93.1
9,17,92.4
9,18,94.6
9,19,92.9
9,20,91.4
9,21,94.6
9,22,93.2
10,-22,83.7
10,-21,85.8
10,-20,84.1
10,-19,84.2
10,-18,83.9
10,-17,84.6
10,-16,84.4
10,-15,83.7
10,-14,85.3
10,-13,91.0
10,-12,86.8
10,-11,87.6
10,-10,86.4
10,-9,87.0
10,-8,87.4
10,-7,86.5
10,-6,86.1
10,-5,87.8
10,-4,86.9
10,-3,83.8
10,-2,85.0
10,-1,86.4
10,0,39.5
10,1,40.3
10,2,43.1
10,3,44.9
10,4,48.1
10,5,50.7
10,6,59.8
10,7,103
10,8,111
10,9,113
10,10,98.3
10,11,95.9
10,12,94.6
10,13,94.3
10,14,94.2
10,15,94.0
10,16,93.3
10,17,94.0
10,18,93.8
10,19,93.8
10,20,93.7
10,21,93.9
10,22,93.2
11,-22,79.1
11,-21,81.0
11,-20,79.6
11,-19,78.0
11,-18,81.3
11,-17,79.5
11,-16,78.5
11,-15,81.4
11,-14,82.2
11,-13,80.3
11,-12,82.5
11,-11,81.4
11,-10,81.0
11,-9,83.3
11,-8,82.8
11,-7,80.2
11,-6,85.5
11,-5,82.1
11,-4,78.3
11,-3,82.2
11,-2,80.0
11,-1,80.8
11,0,34.9
11,1,35.9
11,2,37.7
11,3,40.9
