len(N),E,ns
1,-22,110
1,-21,112
1,-20,110
1,-19,110
1,-18,114
1,-17,109
1,-16,110
1,-15,112
1,-14,110
1,-13,110
1,-12,108
1,-11,110
1,-10,109
1,-9,108
1,-8,109
1,-7,109
1,-6,107
1,-5,112
1,-4,110
1,-3,111
1,-2,118
1,-1,115
1,0,32.1
1,1,40.9
1,2,43.1
1,3,45.2
1,4,47.3
1,5,44.6
1,6,47.3
1,7,50.3
1,8,52.9
1,9,55.5
1,10,58.6
1,11,61.4
1,12,64.2
1,13,67.3
1,14,69.6
1,15,72.5
1,16,159
1,17,167
1,18,181
1,19,176
1,20,180
1,21,184
1,22,169
2,-22,109
2,-21,107
2,-20,106
2,-19,109
2,-18,107
2,-17,107
2,-16,109
2,-15,108
2,-14,106
2,-13,106
2,-12,116
2,-11,117
2,-10,118
2,-9,116
2,-8,118
2,-7,117
2,-6,116
2,-5,110
2,-4,107
2,-3,110
2,-2,109
2,-1,113
2,0,29.7
2,1,39.2
2,2,40.3
2,3,44.7
2,4,46.7
2,5,48.5
2,6,48.4
2,7,51.0
2,8,54.0
2,9,56.9
2,10,59.8
2,11,62.1
2,12,65.2
2,13,68.0
2,14,78.5
2,15,153
2,16,163
2,17,168
2,18,170
2,19,175
2,20,176
2,21,141
2,22,123
3,-22,103
3,-21,102
3,-20,105
3,-19,103
3,-18,102
3,-17,105
3,-16,103
3,-15,101
3,-14,101
3,-13,103
3,-12,102
3,-11,101
3,-10,104
3,-9,103
3,-8,101
3,-7,104
3,-6,106
3,-5,104
3,-4,108
3,-3,106
3,-2,106
3,-1,111
3,0,30.6
3,1,38.1
3,2,40.0
3,3,42.9
3,4,44.3
3,5,47.5
3,6,45.6
3,7,47.9
3,8,50.5
3,9,54.2
3,10,56.2
3,11,59.1
3,12,62.0
3,13,71.8
3,14,148
3,15,155
3,16,162
3,17,163
3,18,168
3,19,161
3,20,122
3,21,116
3,22,112
4,-22,99.1
4,-21,102
4,-20,101
4,-19,98.8
4,-18,103
4,-17,101
4,-16,99.2
4,-15,99.1
4,-14,100.0
4,-13,99.8
4,-12,98.2
4,-11,101
4,-10,98.7
4,-9,97.8
4,-8,100
4,-7,101
4,-6,101
4,-5,105
4,-4,103
4,-3,105
4,-2,107
4,-1,106
4,0,30.4
4,1,38.8
4,2,40.6
4,3,44.2
4,4,45.3
4,5,50.1
4,6,45.9
4,7,48.0
4,8,51.4
4,9,54.0
4,10,56.4
4,11,59.7
4,12,69.3
4,13,140
4,14,149
4,15,155
4,16,157
4,17,161
4,18,135
4,19,113
4,20,111
4,21,109
4,22,107
5,-22,98.9
5,-21,97.1
5,-20,95.5
5,-19,99.8
5,-18,97.2
5,-17,96.4
5,-16,95.1
5,-15,99.4
5,-14,95.6
5,-13,94.3
5,-12,97.4
5,-11,96.7
5,-10,95.1
5,-9,98.0
5,-8,98.5
5,-7,98.0
5,-6,101
5,-5,98.8
5,-4,98.1
5,-3,103
5,-2,102
5,-1,101
5,0,30.7
5,1,39.1
5,2,40.7
5,3,42.9
5,4,44.2
5,5,47.3
5,6,45.4
5,7,48.0
5,8,51.0
5,9,53.7
5,10,56.4
5,11,66.7
5,12,134
5,13,143
5,14,148
5,15,150
5,16,150
5,17,119
5,18,108
5,19,108
5,20,106
5,21,105
5,22,108
6,-22,93.3
6,-21,92.5
6,-20,95.8
6,-19,94.5
