len(N),E,ns
1,-22,73.1
1,-21,68.7
1,-20,71.6
1,-19,55.3
1,-18,60.5
1,-17,58.6
1,-16,64.6
1,-15,70.4
1,-14,67.9
1,-13,73.7
1,-12,77.0
1,-11,52.8
1,-10,61.2
1,-9,63.4
1,-8,66.4
1,-7,59.1
1,-6,71.4
1,-5,66.6
1,-4,68.3
1,-3,48.3
1,-2,56.3
1,-1,61.9
1,0,31.1
1,1,33.1
1,2,34.8
1,3,37.0
1,4,38.3
1,5,40.5
1,6,44.0
1,7,47.6
1,8,50.7
1,9,53.9
1,10,57.2
1,11,60.5
1,12,64.1
1,13,67.3
1,14,70.7
1,15,74.1
1,16,54.3
1,17,57.0
1,18,60.3
1,19,63.5
1,20,65.8
1,21,48.4
1,22,84.8
2,-22,73.6
2,-21,72.3
2,-20,53.8
2,-19,59.8
2,-18,61.4
2,-17,63.9
2,-16,67.7
2,-15,70.6
2,-14,74.2
2,-13,72.9
2,-12,53.0
2,-11,55.1
2,-10,61.1
2,-9,64.4
2,-8,66.9
2,-7,68.9
2,-6,71.6
2,-5,69.1
2,-4,52.6
2,-3,55.9
2,-2,60.0
2,-1,71.0
2,0,32.1
2,1,33.3
2,2,34.2
2,3,36.3
2,4,38.4
2,5,41.0
2,6,44.0
2,7,47.6
2,8,51.2
2,9,54.0
2,10,57.3
2,11,61.2
2,12,63.9
2,13,67.5
2,14,69.9
2,15,53.2
2,16,54.7
2,17,57.3
2,18,61.2
2,19,62.8
2,20,51.4
2,21,109
2,22,68.5
3,-22,74.0
3,-21,56.5
3,-20,54.5
3,-19,58.8
3,-18,62.6
3,-17,65.6
3,-16,68.6
3,-15,72.0
3,-14,74.2
3,-13,57.0
3,-12,54.2
3,-11,58.6
3,-10,62.0
3,-9,65.0
3,-8,67.6
3,-7,69.4
3,-6,70.3
3,-5,54.5
3,-4,52.1
3,-3,56.6
3,-2,65.2
3,-1,70.5
3,0,31.5
3,1,33.7
3,2,35.0
3,3,37.3
3,4,38.7
3,5,41.0
3,6,44.2
3,7,47.5
3,8,50.7
3,9,53.8
3,10,57.5
3,11,60.7
3,12,64.0
3,13,66.4
3,14,49.6
3,15,52.8
3,16,54.9
3,17,57.9
3,18,62.0
3,19,128
3,20,92.4
3,21,65.3
3,22,63.5
4,-22,60.4
4,-21,57.0
4,-20,54.6
4,-19,58.8
4,-18,62.4
4,-17,65.8
4,-16,68.5
4,-15,72.7
4,-14,59.5
4,-13,57.6
4,-12,54.5
4,-11,58.2
4,-10,61.6
4,-9,63.7
4,-8,66.7
4,-7,71.0
4,-6,58.7
4,-5,55.1
4,-4,52.5
4,-3,63.8
4,-2,66.8
4,-1,70.5
4,0,31.5
4,1,33.0
4,2,34.7
4,3,36.6
4,4,40.8
4,5,41.2
4,6,44.3
4,7,47.8
4,8,51.4
4,9,54.5
4,10,57.8
4,11,61.2
4,12,63.9
4,13,47.0
4,14,49.6
4,15,53.0
4,16,55.0
4,17,61.3
4,18,144
4,19,78.1
4,20,58.6
4,21,59.9
4,22,62.3
5,-22,61.5
5,-21,58.4
5,-20,55.9
5,-19,60.2
5,-18,64.1
5,-17,67.2
5,-16,73.1
5,-15,64.3
5,-14,60.9
5,-13,58.0
5,-12,55.5
5,-11,59.7
5,-10,61.7
5,-9,64.1
5,-8,71.6
5,-7,62.5
5,-6,59.1
5,-5,55.9
5,-4,58.9
5,-3,62.8
5,-2,67.6
5,-1,71.3
5,0,32.4
5,1,34.5
5,2,36.1
5,3,38.2
5,4,39.7
5,5,42.3
5,6,44.5
5,7,48.1
5,8,51.5
5,9,55.0
5,10,58.5
5,11,60.8
5,12,43.8
5,13,48.0
5,14,51.3
5,15,54.3
5,16,159
5,17,132
5,18,73.0
5,19,59.8
5,20,56.0
5,21,60.3
5,22,63.7
6,-22,61.6
6,-21,58.5
6,-20,55.9
6,-19,59.9
6,-18,63.6
6,-17,71.5
6,-16,66.5
6,-15,63.7
6,-14,60.7
6,-13,60.2
6,-12,55.0
6,-11,57.4
6,-10,60.6
6,-9,71.7
6,-8,64.5
6,-7,61.3
6,-6,58.4
6,-5,60.9
6,-4,59.8
6,-3,62.5
6,-2,65.7
6,-1,77.0
6,0,32.3
6,1,34.0
6,2,35.8
6,3,37.6
6,4,39.7
6,5,41.7
6,6,44.3
6,7,48.0
6,8,50.7
6,9,54.2
6,10,58.2
6,11,45.8
6,12,43.8
6,13,47.8
6,14,50.7
6,15,184
6,16,106
6,17,71.6
6,18,62.7
6,19,58.2
6,20,55.8
6,21,60.4
6,22,63.4
7,-22,62.3
7,-21,59.8
7,-20,56.8
7,-19,60.8
7,-18,70.8
7,-17,69.8
7,-16,68.1
7,-15,64.6
7,-14,61.6
7,-13,58.1
7,-12,54.5
7,-11,59.2
7,-10,73.0
7,-9,67.9
7,-8,65.5
7,-7,63.2
7,-6,65.3
7,-5,63.1
7,-4,61.2
7,-3,65.1
7,-2,77.7
7,-1,74.0
7,0,33.1
7,1,35.1
7,2,37.4
7,3,38.9
7,4,41.6
7,5,43.5
7,6,46.9
7,7,49.8
7,8,53.3
7,9,57.5
7,10,50.7
7,11,47.1
7,12,45.2
7,13,130
7,14,173
7,15,91.1
7,16,70.7
7,17,65.6
7,18,62.3
7,19,59.3
7,20,57.8
7,21,60.9
7,22,69.3
8,-22,62.7
8,-21,59.0
8,-20,56.9
8,-19,69.0
8,-18,72.3
8,-17,69.5
8,-16,66.1
8,-15,63.9
8,-14,61.1
8,-13,57.0
8,-12,54.7
8,-11,73.5
8,-10,70.4
8,-9,68.1
8,-8,64.9
8,-7,67.5
8,-6,64.2
8,-5,61.6
8,-4,59.8
8,-3,75.9
8,-2,75.9
8,-1,73.9
8,0,33.2
8,1,35.0
8,2,36.9
8,3,39.1
8,4,41.0
8,5,43.6
8,6,46.5
8,7,50.5
8,8,54.8
8,9,52.6
8,10,50.1
8,11,47.3
8,12,218
8,13,138
8,14,82.9
8,15,70.7
8,16,67.6
8,17,64.9
8,18,62.5
8,19,58.8
8,20,56.9
8,21,67.0
8,22,72.8
9,-22,63.1
9,-21,59.6
9,-20,67.6
9,-19,76.1
9,-18,73.3
9,-17,69.6
9,-16,66.9
9,-15,64.4
9,-14,60.7
9,-13,57.4
9,-12,74.5
9,-11,74.4
9,-10,71.1
9,-9,69.3
9,-8,71.4
9,-7,68.3
9,-6,65.8
9,-5,62.8
9,-4,75.5
9,-3,79.5
9,-2,79.0
9,-1,75.6
9,0,33.6
9,1,36.1
9,2,37.9
9,3,39.9
9,4,42.3
9,5,44.9
9,6,47.9
9,7,53.2
9,8,57.7
9,9,54.0
9,10,78.9
9,11,198
9,12,101
9,13,81.2
9,14,73.8
9,15,70.4
9,16,67.9
9,17,65.9
9,18,62.3
9,19,59.8
9,20,65.6
9,21,76.0
9,22,73.2
10,-22,66.7
10,-21,74.2
10,-20,83.2
10,-19,80.6
10,-18,76.9
10,-17,73.9
10,-16,71.3
10,-15,67.0
10,-14,64.1
10,-13,76.1
10,-12,79.9
10,-11,77.9
10,-10,74.7
10,-9,80.1
10,-8,75.4
10,-7,72.5
10,-6,69.7
10,-5,79.3
10,-4,86.9
10,-3,83.4
10,-2,81.3
10,-1,78.2
10,0,37.9
10,1,40.5
10,2,42.4
10,3,44.5
10,4,47.1
10,5,50.0
10,6,56.3
10,7,63.1
10,8,60.2
10,9,266
10,10,159
10,11,93.0
10,12,85.2
10,13,80.3
10,14,77.6
10,15,74.6
10,16,72.0
10,17,69.7
10,18,66.9
10,19,71.6
10,20,83.1
10,21,80.5
10,22,78.1
11,-22,72.0
11,-21,80.6
11,-20,78.7
11,-19,75.3
11,-18,73.0
11,-17,70.2
11,-16,65.5
11,-15,63.2
11,-14,78.2
11,-13,80.0
11,-12,76.6
11,-11,73.7
