len(N),E,ns
1,-22,97.0
1,-21,99.5
1,-20,96.9
1,-19,96.5
1,-18,99.5
1,-17,96.4
1,-16,97.1
1,-15,99.4
1,-14,96.8
1,-13,96.1
1,-12,94.3
1,-11,96.7
1,-10,96.7
1,-9,94.1
1,-8,96.0
1,-7,96.0
1,-6,93.8
1,-5,98.0
1,-4,95.8
1,-3,93.8
1,-2,97.9
1,-1,101
1,0,27.0
1,1,21.6
1,2,23.1
1,3,24.6
1,4,26.9
1,5,30.1
1,6,33.3
1,7,36.5
1,8,39.6
1,9,43.4
1,10,47.8
1,11,51.0
1,12,54.7
1,13,57.7
1,14,61.4
1,15,64.7
1,16,109
1,17,113
1,18,148
1,19,160
1,20,165
1,21,170
1,22,154
2,-22,95.5
2,-21,93.9
2,-20,92.9
2,-19,95.5
2,-18,94.2
2,-17,92.6
2,-16,95.5
2,-15,94.1
2,-14,92.2
2,-13,92.8
2,-12,94.4
2,-11,93.1
2,-10,92.5
2,-9,94.7
2,-8,93.9
2,-7,92.4
2,-6,94.7
2,-5,93.5
2,-4,92.2
2,-3,95.5
2,-2,94.8
2,-1,95.2
2,0,20.6
2,1,21.9
2,2,23.8
2,3,26.8
2,4,29.9
2,5,33.0
2,6,36.5
2,7,40.2
2,8,43.9
2,9,47.8
2,10,51.4
2,11,54.7
2,12,58.0
2,13,61.2
2,14,70.3
2,15,105
2,16,108
2,17,144
2,18,154
2,19,158
2,20,161
2,21,127
2,22,109
3,-22,90.4
3,-21,89.7
3,-20,92.9
3,-19,90.9
3,-18,89.8
3,-17,92.9
3,-16,90.7
3,-15,90.0
3,-14,89.7
3,-13,91.9
3,-12,90.3
3,-11,88.5
3,-10,90.9
3,-9,89.2
3,-8,88.3
3,-7,91.2
3,-6,89.9
3,-5,88.4
3,-4,91.8
3,-3,90.0
3,-2,89.1
3,-1,94.3
3,0,21.0
3,1,22.4
3,2,25.5
3,3,27.4
3,4,31.0
3,5,33.3
3,6,37.3
3,7,40.2
3,8,43.9
3,9,47.8
3,10,50.4
3,11,54.5
3,12,57.1
3,13,66.6
3,14,101
3,15,104
3,16,139
3,17,148
3,18,155
3,19,147
3,20,109
3,21,102
3,22,98.3
4,-22,87.6
4,-21,91.1
4,-20,88.9
4,-19,87.2
4,-18,90.5
4,-17,89.4
4,-16,91.4
4,-15,87.0
4,-14,89.4
4,-13,87.7
4,-12,85.1
4,-11,87.6
4,-10,86.7
4,-9,85.2
4,-8,88.5
4,-7,86.4
4,-6,85.2
4,-5,88.8
4,-4,86.4
4,-3,86.3
4,-2,90.4
4,-1,90.0
4,0,21.5
4,1,23.2
4,2,25.1
4,3,28.1
4,4,30.4
4,5,34.5
4,6,36.7
4,7,42.8
4,8,45.0
4,9,49.3
4,10,51.5
4,11,55.7
4,12,64.2
4,13,98.0
4,14,101
4,15,133
4,16,142
4,17,147
4,18,122
4,19,100
4,20,98.6
4,21,94.9
4,22,93.1
5,-22,90.7
5,-21,91.7
5,-20,93.2
5,-19,90.7
5,-18,91.7
5,-17,93.4
5,-16,85.9
