len(N),E,ns
1,-22,69.5
1,-21,67.2
1,-20,69.2
1,-19,68.7
1,-18,72.9
1,-17,66.1
1,-16,68.7
1,-15,72.4
1,-14,66.4
1,-13,68.5
1,-12,65.9
1,-11,66.5
1,-10,69.7
1,-9,70.4
1,-8,70.5
1,-7,62.8
1,-6,66.3
1,-5,67.8
1,-4,68.2
1,-3,60.6
1,-2,69.2
1,-1,68.5
1,0,26.9
1,1,28.4
1,2,29.6
1,3,31.5
1,4,34.5
1,5,37.0
1,6,39.7
1,7,43.6
1,8,45.7
1,9,48.7
1,10,52.6
1,11,55.5
1,12,59.7
1,13,62.8
1,14,66.0
1,15,68.7
1,16,60.0
1,17,59.7
1,18,63.3
1,19,60.6
1,20,63.3
1,21,65.7
1,22,72.3
2,-22,69.5
2,-21,67.4
2,-20,66.3
2,-19,69.6
2,-18,68.0
2,-17,66.0
2,-16,69.6
2,-15,67.7
2,-14,66.8
2,-13,63.6
2,-12,67.6
2,-11,65.0
2,-10,68.2
2,-9,68.5
2,-8,66.7
2,-7,64.9
2,-6,66.9
2,-5,66.2
2,-4,64.7
2,-3,67.8
2,-2,69.9
2,-1,71.7
2,0,26.5
2,1,28.0
2,2,31.1
2,3,31.6
2,4,34.5
2,5,37.2
2,6,39.8
2,7,43.4
2,8,45.9
2,9,48.8
2,10,52.8
2,11,55.6
2,12,59.5
2,13,62.7
2,14,66.2
2,15,59.1
2,16,58.6
2,17,61.2
2,18,60.7
2,19,62.6
2,20,64.9
2,21,74.8
2,22,71.5
3,-22,69.7
3,-21,69.3
3,-20,72.4
3,-19,70.1
3,-18,69.0
3,-17,71.8
3,-16,70.3
3,-15,70.4
3,-14,68.1
3,-13,70.3
3,-12,68.8
3,-11,71.8
3,-10,70.9
3,-9,69.8
3,-8,66.4
3,-7,69.0
3,-6,67.5
3,-5,66.7
3,-4,68.8
3,-3,67.4
3,-2,72.3
3,-1,75.9
3,0,26.9
3,1,28.6
3,2,29.7
3,3,32.0
3,4,34.2
3,5,37.3
3,6,40.2
3,7,43.6
3,8,47.0
3,9,49.6
3,10,53.1
3,11,56.1
3,12,59.7
3,13,63.5
3,14,59.3
3,15,59.2
3,16,61.7
3,17,60.9
3,18,62.8
3,19,73.6
3,20,73.8
3,21,73.2
3,22,71.3
4,-22,66.8
4,-21,69.9
4,-20,67.8
4,-19,66.8
4,-18,70.5
4,-17,68.2
4,-16,66.7
4,-15,65.6
4,-14,68.3
4,-13,66.7
4,-12,69.5
4,-11,69.2
4,-10,67.5
4,-9,64.3
4,-8,66.9
4,-7,66.3
4,-6,64.9
4,-5,67.7
4,-4,65.8
4,-3,72.2
4,-2,74.4
4,-1,71.3
4,0,27.0
4,1,28.7
4,2,30.3
4,3,32.1
4,4,34.7
4,5,37.4
4,6,40.7
4,7,43.7
4,8,46.9
4,9,50.0
4,10,53.1
4,11,55.8
4,12,60.8
4,13,68.7
4,14,58.5
4,15,60.8
4,16,59.7
4,17,62.4
4,18,76.4
4,19,69.5
4,20,70.6
4,21,69.0
4,22,68.1
5,-22,70.2
5,-21,69.3
5,-20,68.0
5,-19,70.9
5,-18,68.9
5,-17,68.9
5,-16,67.2
5,-15,69.2
5,-14,68.2
5,-13,69.9
5,-12,70.0
5,-11,68.8
5,-10,67.1
5,-9,68.4
5,-8,67.3
5,-7,66.2
5,-6,68.8
5,-5,68.5
5,-4,70.0
5,-3,74.2
5,-2,73.3
5,-1,71.4
5,0,28.2
5,1,29.7
5,2,31.3
5,3,33.4
5,4,36.8
5,5,38.9
5,6,42.7
5,7,45.0
5,8,52.6
5,9,50.9
5,10,54.7
5,11,62.0
5,12,59.2
5,13,59.3
5,14,61.9
5,15,60.7
5,16,69.2
5,17,73.7
5,18,70.4
5,19,71.4
5,20,70.3
5,21,69.1
5,22,71.2
6,-22,67.3
6,-21,65.6
6,-20,68.3
6,-19,67.2
6,-18,66.0
6,-17,65.0
6,-16,67.3
6,-15,66.3
6,-14,67.6
6,-13,67.3
6,-12,65.6
6,-11,63.0
6,-10,65.0
6,-9,64.0
6,-8,63.2
6,-7,66.1
6,-6,64.5
6,-5,69.2
6,-4,71.9
6,-3,71.2
6,-2,68.8
6,-1,73.5
6,0,27.8
6,1,29.5
6,2,31.1
6,3,33.0
6,4,36.3
6,5,38.9
6,6,42.3
6,7,45.0
6,8,47.8
6,9,50.4
6,10,55.4
6,11,57.9
6,12,57.6
6,13,60.2
6,14,59.4
6,15,72.6
6,16,69.8
6,17,67.0
6,18,69.3
6,19,68.0
6,20,66.6
6,21,69.0
6,22,67.8
7,-22,68.6
7,-21,70.6
7,-20,69.8
7,-19,68.2
7,-18,67.7
7,-17,69.5
7,-16,68.6
7,-15,70.8
7,-14,70.3
7,-13,69.3
7,-12,65.2
7,-11,68.3
7,-10,66.9
7,-9,65.4
7,-8,67.5
7,-7,66.8
7,-6,72.2
7,-5,74.7
7,-4,73.7
7,-3,73.0
7,-2,74.0
7,-1,73.2
7,0,29.0
7,1,32.4
7,2,32.6
7,3,34.9
7,4,38.4
7,5,40.2
7,6,44.2
7,7,46.0
7,8,49.8
7,9,54.0
7,10,58.7
7,11,58.8
7,12,62.0
7,13,64.1
7,14,71.8
7,15,70.8
7,16,69.1
7,17,70.8
7,18,70.1
7,19,68.9
7,20,71.2
7,21,69.7
7,22,68.9
8,-22,67.8
8,-21,67.0
8,-20,66.1
8,-19,64.8
8,-18,66.7
8,-17,65.5
8,-16,67.7
8,-15,68.1
8,-14,66.9
8,-13,63.9
8,-12,66.1
8,-11,64.9
8,-10,63.9
8,-9,66.0
8,-8,64.9
8,-7,69.2
8,-6,72.0
8,-5,71.0
8,-4,70.0
8,-3,72.6
8,-2,71.4
8,-1,71.6
8,0,28.9
8,1,30.6
8,2,32.7
8,3,34.7
8,4,37.9
8,5,40.1
8,6,43.3
8,7,46.0
8,8,51.1
8,9,58.7
8,10,56.9
8,11,60.0
8,12,69.2
8,13,68.3
8,14,69.0
8,15,66.8
8,16,69.3
8,17,68.3
8,18,67.1
8,19,69.2
8,20,68.2
8,21,67.0
8,22,69.5
9,-22,67.6
9,-21,66.7
9,-20,66.0
9,-19,67.4
9,-18,66.4
9,-17,68.2
9,-16,68.3
9,-15,67.2
9,-14,65.4
9,-13,67.4
9,-12,66.0
9,-11,65.3
9,-10,67.5
9,-9,66.3
9,-8,70.1
9,-7,71.8
9,-6,70.9
9,-5,69.7
9,-4,72.5
9,-3,70.9
9,-2,71.9
9,-1,73.3
9,0,29.8
9,1,31.9
9,2,33.0
9,3,36.5
9,4,38.2
9,5,41.4
9,6,43.9
9,7,49.4
9,8,59.3
9,9,59.3
9,10,60.8
9,11,69.4
9,12,68.5
9,13,68.3
9,14,67.4
9,15,69.3
9,16,68.3
9,17,67.3
9,18,70.0
9,19,68.3
9,20,67.7
9,21,69.7
9,22,69.0
10,-22,67.4
10,-21,69.1
10,-20,67.1
10,-19,66.9
10,-18,69.5
10,-17,67.2
10,-16,67.0
10,-15,64.7
10,-14,65.5
10,-13,65.5
10,-12,64.9
10,-11,65.5
10,-10,65.3
10,-9,69.7
10,-8,71.3
10,-7,71.6
10,-6,71.5
10,-5,71.1
10,-4,71.1
10,-3,71.7
10,-2,71.9
10,-1,72.1
10,0,33.3
10,1,36.1
10,2,37.8
10,3,39.8
10,4,42.7
10,5,45.3
10,6,51.4
10,7,60.5
10,8,60.8
10,9,68.3
10,10,67.2
10,11,66.7
10,12,69.2
10,13,68.9
