len(N),E,ns
1,-22,65.6
1,-21,61.4
1,-20,64.2
1,-19,46.0
1,-18,51.6
1,-17,50.0
1,-16,57.2
1,-15,62.8
1,-14,60.0
1,-13,65.6
1,-12,69.7
1,-11,43.9
1,-10,51.6
1,-9,56.2
1,-8,58.6
1,-7,51.5
1,-6,64.2
1,-5,58.6
1,-4,61.4
1,-3,37.7
1,-2,47.4
1,-1,53.1
1,0,21.5
1,1,22.0
1,2,24.1
1,3,24.5
1,4,26.7
1,5,28.2
1,6,30.8
1,7,34.5
1,8,36.8
1,9,40.8
1,10,43.5
1,11,47.1
1,12,50.0
1,13,53.1
1,14,55.8
1,15,58.6
1,16,46.5
1,17,53.0
1,18,53.1
1,19,55.8
1,20,58.6
1,21,37.5
1,22,71.5
2,-22,66.3
2,-21,64.2
2,-20,46.0
2,-19,50.0
2,-18,54.7
2,-17,57.2
2,-16,61.4
2,-15,64.5
2,-14,66.3
2,-13,66.9
2,-12,45.5
2,-11,48.6
2,-10,53.1
2,-9,57.2
2,-8,60.0
2,-7,61.4
2,-6,64.5
2,-5,58.6
2,-4,43.0
2,-3,46.0
2,-2,51.5
2,-1,62.8
2,0,22.0
2,1,22.5
2,2,24.1
2,3,25.5
2,4,26.7
2,5,28.5
2,6,31.4
2,7,34.5
2,8,37.7
2,9,40.8
2,10,43.5
2,11,47.1
2,12,50.0
2,13,53.0
2,14,55.8
2,15,43.9
2,16,47.1
2,17,48.8
2,18,53.1
2,19,54.4
2,20,40.8
2,21,98.3
2,22,58.6
3,-22,65.6
3,-21,48.6
3,-20,47.1
3,-19,50.2
3,-18,54.7
3,-17,57.2
3,-16,61.4
3,-15,65.6
3,-14,66.9
3,-13,48.8
3,-12,46.0
3,-11,50.2
3,-10,53.0
3,-9,57.2
3,-8,60.0
3,-7,62.8
3,-6,61.4
3,-5,45.9
3,-4,44.5
3,-3,48.6
3,-2,58.6
3,-1,66.3
3,0,23.4
3,1,23.9
3,2,25.1
3,3,26.1
3,4,28.2
3,5,30.7
3,6,33.8
3,7,36.9
3,8,39.2
3,9,42.4
3,10,46.0
3,11,48.4
3,12,51.5
3,13,54.4
3,14,40.8
3,15,45.5
3,16,48.4
3,17,51.6
3,18,54.7
3,19,117
3,20,83.7
3,21,57.2
3,22,55.8
4,-22,50.0
4,-21,47.6
4,-20,47.4
4,-19,50.0
4,-18,53.0
4,-17,57.2
4,-16,61.4
4,-15,65.6
4,-14,50.0
4,-13,48.4
4,-12,46.0
4,-11,50.0
4,-10,53.0
4,-9,56.2
4,-8,60.0
4,-7,61.4
4,-6,48.6
4,-5,46.0
4,-4,43.5
4,-3,54.4
4,-2,62.8
4,-1,65.6
4,0,22.5
4,1,23.0
4,2,24.5
