len(N),E,ns
1,-22,47.9
1,-21,50.5
1,-20,48.3
1,-19,48.8
1,-18,50.0
1,-17,47.6
1,-16,47.6
1,-15,50.8
1,-14,48.7
1,-13,48.2
1,-12,45.5
1,-11,48.5
1,-10,48.8
1,-9,48.7
1,-8,47.6
1,-7,48.4
1,-6,43.5
1,-5,49.6
1,-4,46.3
1,-3,44.0
1,-2,48.8
1,-1,48.7
1,0,25.8
1,1,25.5
1,2,25.6
1,3,26.4
1,4,26.1
1,5,25.5
1,6,25.9
1,7,26.7
1,8,25.8
1,9,25.7
1,10,25.7
1,11,26.7
1,12,26.1
1,13,25.5
1,14,25.5
1,15,26.7
1,16,40.5
1,17,38.6
1,18,46.1
1,19,44.6
1,20,47.2
1,21,50.0
1,22,60.9
2,-22,47.6
2,-21,46.4
2,-20,45.5
2,-19,48.8
2,-18,46.2
2,-17,45.5
2,-16,48.7
2,-15,47.5
2,-14,46.3
2,-13,44.7
2,-12,47.7
2,-11,45.7
2,-10,48.8
2,-9,47.1
2,-8,46.0
2,-7,43.1
2,-6,45.6
2,-5,44.0
2,-4,43.4
2,-3,45.6
2,-2,45.0
2,-1,50.4
2,0,26.0
2,1,25.5
2,2,26.3
2,3,26.4
2,4,25.5
2,5,25.7
2,6,26.2
2,7,26.7
2,8,25.7
2,9,25.5
2,10,26.6
2,11,26.4
2,12,25.5
2,13,25.8
2,14,30.0
2,15,45.6
2,16,37.5
2,17,43.0
2,18,42.5
2,19,44.9
2,20,47.7
2,21,62.9
2,22,56.4
3,-22,54.6
3,-21,54.8
3,-20,55.6
3,-19,54.7
3,-18,54.7
3,-17,56.4
3,-16,55.8
3,-15,54.5
3,-14,53.9
3,-13,54.8
3,-12,54.7
3,-11,56.4
3,-10,54.6
3,-9,54.7
3,-8,51.6
3,-7,54.7
3,-6,51.7
3,-5,51.6
3,-4,53.1
3,-3,53.2
3,-2,58.6
3,-1,61.4
3,0,27.7
3,1,27.3
3,2,29.3
3,3,29.0
3,4,27.7
3,5,27.7
3,6,29.2
3,7,29.2
3,8,27.6
3,9,27.1
3,10,29.3
3,11,29.2
3,12,27.9
3,13,31.5
3,14,46.3
3,15,45.7
3,16,51.6
3,17,53.3
3,18,53.0
3,19,68.3
3,20,64.5
3,21,60.2
3,22,58.9
4,-22,54.7
4,-21,57.7
4,-20,56.0
4,-19,54.7
4,-18,58.8
4,-17,55.9
4,-16,55.8
4,-15,53.2
4,-14,57.2
4,-13,55.8
4,-12,57.3
4,-11,55.9
4,-10,54.5
4,-9,51.6
4,-8,54.8
4,-7,53.0
4,-6,51.8
4,-5,54.4
4,-4,53.2
4,-3,58.8
4,-2,62.8
4,-1,63.0
4,0,26.7
4,1,27.3
4,2,27.7
4,3,29.3
4,4,26.7
4,5,27.6
4,6,28.3
4,7,29.2
4,8,26.7
4,9,27.6
4,10,27.7
4,11,29.2
4,12,30.7
4,13,45.0
4,14,43.9
4,15,50.3
4,16,50.5
4,17,53.2
4,18,72.6
4,19,61.5
4,20,61.8
4,21,60.2
4,22,59.1
5,-22,58.8
5,-21,57.3
5,-20,54.8
5,-19,64.3
5,-18,57.2
5,-17,55.2
5,-16,54.5
5,-15,57.2
5,-14,55.8
5,-13,58.0
5,-12,55.9
5,-11,55.1
5,-10,51.7
5,-9,54.5
5,-8,53.1
5,-7,51.7
5,-6,54.8
