len(N),E,ns
1,-22,48.6
1,-21,51.6
1,-20,48.5
1,-19,48.9
1,-18,51.6
1,-17,48.6
1,-16,49.5
1,-15,51.6
1,-14,48.5
1,-13,48.6
1,-12,46.6
1,-11,50.2
1,-10,48.5
1,-9,48.6
1,-8,50.0
1,-7,50.1
1,-6,45.5
1,-5,50.3
1,-4,47.5
1,-3,45.1
1,-2,50.0
1,-1,49.0
1,0,26.7
1,1,26.7
1,2,26.1
1,3,26.4
1,4,26.7
1,5,26.1
1,6,26.7
1,7,26.4
1,8,26.7
1,9,26.7
1,10,26.1
1,11,26.7
1,12,26.7
1,13,26.4
1,14,26.3
1,15,26.7
1,16,46.7
1,17,46.2
1,18,48.8
1,19,46.3
1,20,48.9
1,21,53.2
1,22,60.0
2,-22,48.7
2,-21,47.8
2,-20,45.5
2,-19,48.7
2,-18,47.1
2,-17,46.1
2,-16,48.9
2,-15,47.2
2,-14,46.2
2,-13,45.5
2,-12,47.7
2,-11,46.3
2,-10,48.5
2,-9,47.8
2,-8,46.1
2,-7,44.0
2,-6,46.1
2,-5,44.5
2,-4,43.4
2,-3,46.2
2,-2,44.6
2,-1,53.0
2,0,26.1
2,1,26.1
2,2,26.1
2,3,26.8
2,4,26.2
2,5,26.1
2,6,26.5
2,7,26.7
2,8,26.1
2,9,26.1
2,10,26.4
2,11,26.7
2,12,26.3
2,13,26.2
2,14,30.6
2,15,53.1
2,16,44.5
2,17,47.5
2,18,47.2
2,19,48.7
2,20,50.1
2,21,61.7
2,22,53.1
3,-22,54.4
3,-21,54.4
3,-20,55.8
3,-19,54.9
3,-18,54.4
3,-17,55.8
3,-16,54.8
3,-15,53.1
3,-14,53.1
3,-13,54.4
3,-12,54.7
3,-11,56.0
3,-10,55.9
3,-9,54.8
3,-8,51.7
3,-7,54.4
3,-6,51.6
3,-5,51.5
3,-4,54.4
3,-3,53.2
3,-2,60.1
3,-1,63.1
3,0,27.3
3,1,27.7
3,2,28.3
3,3,28.5
3,4,27.6
3,5,27.7
3,6,28.3
3,7,28.3
3,8,27.6
3,9,27.6
3,10,27.9
3,11,28.5
3,12,27.6
3,13,32.0
3,14,53.2
3,15,53.1
3,16,54.4
3,17,53.4
3,18,54.7
3,19,66.5
3,20,61.4
3,21,58.6
3,22,57.3
4,-22,53.2
4,-21,56.2
4,-20,54.4
4,-19,53.9
4,-18,56.7
4,-17,54.7
4,-16,54.5
4,-15,60.1
4,-14,55.9
4,-13,54.4
4,-12,55.9
4,-11,55.9
4,-10,54.5
4,-9,51.6
4,-8,54.7
4,-7,53.2
4,-6,52.0
4,-5,54.4
4,-4,53.0
4,-3,60.1
4,-2,62.9
4,-1,65.6
4,0,26.8
4,1,27.6
4,2,27.8
4,3,29.0
4,4,26.8
4,5,27.6
4,6,28.3
4,7,28.9
4,8,26.4
4,9,27.6
4,10,27.8
4,11,28.9
4,12,31.4
4,13,53.1
4,14,51.7
4,15,54.7
4,16,53.2
4,17,55.8
4,18,66.3
4,19,57.3
4,20,58.6
4,21,57.3
4,22,55.8
5,-22,58.8
5,-21,57.3
5,-20,54.8
5,-19,59.5
5,-18,57.2
5,-17,56.4
5,-16,54.8
5,-15,57.3
5,-14,55.8
5,-13,57.3
5,-12,58.6
5,-11,55.8
5,-10,53.2
5,-9,62.8
5,-8,54.7
5,-7,53.1
5,-6,55.8
5,-5,54.8
5,-4,59.3
5,-3,65.6
5,-2,61.2
5,-1,64.7
