len(N),E,ns
1,-22,97.8
1,-21,101
1,-20,97.2
1,-19,96.3
1,-18,101
1,-17,96.4
1,-16,96.0
1,-15,100
1,-14,96.3
1,-13,95.2
1,-12,96.0
1,-11,96.3
1,-10,96.8
1,-9,94.5
1,-8,96.4
1,-7,97.0
1,-6,92.4
1,-5,100
1,-4,96.5
1,-3,93.4
1,-2,100
1,-1,101
1,0,20.9
1,1,21.4
1,2,24.6
1,3,25.5
1,4,27.6
1,5,30.0
1,6,32.2
1,7,35.3
1,8,38.1
1,9,41.3
1,10,44.4
1,11,47.7
1,12,50.2
1,13,53.2
1,14,56.5
1,15,58.9
1,16,108
1,17,110
1,18,145
1,19,157
1,20,159
1,21,164
1,22,150
2,-22,96.5
2,-21,94.4
2,-20,92.1
2,-19,97.8
2,-18,92.9
2,-17,92.3
2,-16,96.1
2,-15,94.6
2,-14,92.5
2,-13,92.1
2,-12,96.5
2,-11,94.2
2,-10,93.0
2,-9,94.2
2,-8,93.6
2,-7,92.1
2,-6,95.4
2,-5,94.2
2,-4,92.3
2,-3,95.2
2,-2,94.3
2,-1,96.3
2,0,21.5
2,1,22.5
2,2,25.7
2,3,27.9
2,4,31.0
2,5,33.8
2,6,36.8
2,7,40.0
2,8,43.0
2,9,46.5
2,10,48.9
2,11,51.2
2,12,54.4
2,13,57.3
2,14,67.0
2,15,105
2,16,107
2,17,141
2,18,150
2,19,157
2,20,157
2,21,128
2,22,113
3,-22,90.0
3,-21,87.9
3,-20,92.8
3,-19,90.0
3,-18,88.0
3,-17,92.3
3,-16,91.0
3,-15,87.9
3,-14,87.9
3,-13,92.2
3,-12,90.0
3,-11,90.4
3,-10,92.1
3,-9,90.2
3,-8,90.1
3,-7,92.2
3,-6,90.0
3,-5,87.9
3,-4,92.3
3,-3,92.2
3,-2,90.1
3,-1,96.9
3,0,23.0
3,1,24.1
3,2,27.0
3,3,28.9
3,4,31.1
3,5,33.7
3,6,36.0
3,7,39.0
3,8,42.4
3,9,44.6
3,10,47.6
3,11,50.1
3,12,52.5
3,13,62.9
3,14,103
3,15,105
3,16,139
3,17,147
3,18,150
3,19,143
3,20,112
3,21,105
3,22,103
4,-22,88.2
4,-21,92.1
4,-20,90.5
4,-19,89.3
4,-18,92.1
4,-17,92.1
4,-16,90.1
4,-15,87.5
4,-14,89.0
4,-13,88.1
4,-12,88.4
4,-11,91.2
4,-10,90.1
4,-9,87.9
4,-8,92.1
4,-7,90.1
4,-6,87.9
4,-5,92.1
4,-4,90.0
4,-3,85.8
4,-2,90.1
4,-1,90.0
4,0,23.0
4,1,24.6
4,2,27.2
4,3,29.2
4,4,31.4
4,5,33.8
4,6,36.7
4,7,40.5
4,8,43.0
4,9,46.1
4,10,48.9
4,11,51.6
4,12,60.1
4,13,98.4
4,14,101
4,15,133
4,16,139
4,17,143
4,18,124
4,19,103
4,20,103
4,21,101
4,22,98.3
5,-22,87.9
5,-21,86.0
5,-20,85.9
5,-19,90.0
5,-18,87.2
5,-17,85.8
5,-16,85.4
5,-15,87.9
5,-14,85.8
5,-13,83.8
5,-12,87.4
5,-11,85.9
5,-10,83.9
5,-9,87.3
5,-8,85.5
5,-7,83.8
5,-6,87.9
5,-5,87.2
5,-4,83.7
5,-3,87.5
5,-2,86.0
5,-1,88.3
5,0,24.0
5,1,24.9
5,2,27.6
5,3,30.5
5,4,33.0
5,5,35.3
5,6,38.4
5,7,42.2
5,8,44.5
5,9,47.5
5,10,50.3
5,11,58.7
5,12,94.4
5,13,96.6
5,14,126
5,15,133
5,16,135
5,17,107
5,18,98.5
5,19,101
5,20,98.5
5,21,96.4
5,22,101
6,-22,85.6
6,-21,83.8
6,-20,87.3
6,-19,83.8
6,-18,83.7
6,-17,85.7
6,-16,85.4
6,-15,83.7
6,-14,82.1
6,-13,85.5
6,-12,83.8
6,-11,82.9
6,-10,85.5
6,-9,83.7
6,-8,83.7
6,-7,85.8
6,-6,83.4
6,-5,83.3
6,-4,85.8
6,-3,83.8
6,-2,83.8
6,-1,90.0
6,0,24.6
6,1,25.0
6,2,28.5
6,3,31.4
6,4,34.3
6,5,36.8
6,6,39.4
6,7,41.6
6,8,44.5
6,9,47.7
6,10,56.4
6,11,92.2
6,12,94.2
6,13,121
6,14,128
6,15,122
6,16,100
6,17,95.6
6,18,96.5
6,19,95.4
6,20,94.2
6,21,97.6
6,22,95.2
7,-22,82.0
7,-21,85.4
7,-20,83.7
7,-19,81.8
7,-18,81.9
7,-17,83.7
7,-16,81.7
7,-15,81.0
7,-14,85.7
7,-13,83.9
7,-12,82.7
7,-11,83.8
7,-10,83.1
7,-9,82.0
7,-8,83.8
7,-7,83.7
7,-6,81.7
7,-5,85.5
7,-4,83.7
7,-3,83.1
7,-2,85.1
7,-1,87.2
7,0,25.1
7,1,26.4
7,2,29.8
7,3,33.0
7,4,35.3
7,5,37.6
7,6,40.6
7,7,44.0
7,8,47.1
7,9,55.9
7,10,87.9
7,11,92.1
7,12,116
7,13,120
7,14,105
7,15,97.1
7,16,94.3
7,17,96.4
7,18,94.4
7,19,94.3
7,20,96.3
7,21,95.6
7,22,94.1
8,-22,82.0
8,-21,79.6
8,-20,78.5
8,-19,78.7
8,-18,81.7
8,-17,80.2
8,-16,80.3
8,-15,81.8
8,-14,80.2
8,-13,80.3
8,-12,81.7
8,-11,79.7
8,-10,80.4
8,-9,81.7
8,-8,79.8
8,-7,78.5
8,-6,81.6
8,-5,79.6
8,-4,78.5
8,-3,82.1
8,-2,80.3
8,-1,82.2
8,0,26.1
8,1,27.3
8,2,30.8
8,3,33.8
8,4,37.2
8,5,40.5
8,6,42.9
8,7,45.6
8,8,53.1
8,9,83.8
8,10,86.8
8,11,110
8,12,110
8,13,98.7
8,14,92.2
8,15,90.1
8,16,92.3
8,17,92.1
8,18,90.0
8,19,94.2
8,20,92.1
8,21,90.1
8,22,96.3
9,-22,78.5
9,-21,76.8
9,-20,76.3
9,-19,78.5
9,-18,78.2
9,-17,78.7
9,-16,80.2
9,-15,78.9
9,-14,76.9
9,-13,80.3
9,-12,78.6
9,-11,77.5
9,-10,80.4
9,-9,78.7
9,-8,76.9
9,-7,78.7
9,-6,77.7
9,-5,76.7
9,-4,80.3
9,-3,78.6
9,-2,76.8
9,-1,81.7
9,0,25.5
9,1,27.6
9,2,31.4
9,3,34.6
9,4,37.8
9,5,41.5
9,6,44.0
9,7,51.6
9,8,81.7
9,9,83.9
9,10,105
9,11,97.6
9,12,94.6
9,13,90.1
9,14,88.0
9,15,90.3
9,16,90.0
9,17,88.1
9,18,92.2
9,19,90.1
9,20,90.0
9,21,95.2
9,22,90.1
10,-22,80.2
10,-21,79.5
10,-20,80.3
10,-19,80.3
10,-18,79.6
10,-17,80.2
10,-16,80.3
10,-15,80.4
10,-14,79.7
10,-13,81.6
10,-12,80.7
10,-11,80.4
10,-10,82.0
10,-9,81.4
10,-8,80.4
10,-7,80.6
10,-6,79.6
10,-5,81.1
10,-4,80.3
10,-3,80.4
10,-2,81.4
10,-1,83.8
10,0,34.5
10,1,36.9
10,2,39.8
10,3,43.1
10,4,46.1
10,5,48.7
10,6,57.2
10,7,84.0
10,8,88.0
10,9,103
10,10,96.4
10,11,93.4
10,12,92.1
10,13,92.2
10,14,92.1
10,15,92.1
10,16,92.1
10,17,90.5
10,18,92.2
10,19,92.2
10,20,95.5
10,21,92.4
10,22,92.0
11,-22,73.4
11,-21,75.0
11,-20,73.4
11,-19,72.7
11,-18,75.1
11,-17,73.9
11,-16,72.8
11,-15,75.1
11,-14,73.4
11,-13,83.7
11,-12,75.1
11,-11,74.0
11,-10,75.0
11,-9,76.8
11,-8,75.3
11,-7,75.0
11,-6,76.7
11,-5,75.0
11,-4,75.1
11,-3,76.8
11,-2,76.2
11,-1,76.9
11,0,28.5
11,1,31.4
11,2,34.5
11,3,37.6
11,4,40.2
11,5,48.8
11,6,76.7
11,7,83.7
11,8,90.1
11,9,88.1
11,10,89.0
11,11,87.5
11,12,85.8
11,13,88.0
11,14,87.2
11,15,85.8
11,16,87.9
11,17,87.2
11,18,85.8
11,19,92.1
11,20,88.4
11,21,85.8
11,22,92.2
12,-22,73.3
12,-21,73.9
12,-20,70.0
12,-19,73.3
12,-18,71.5
12,-17,71.1
12,-16,73.1
12,-15,71.6
12,-14,71.5
12,-13,73.5
12,-12,71.5
12,-11,71.6
12,-10,75.0
12,-9,71.6
12,-8,71.3
12,-7,76.3
12,-6,71.8
12,-5,72.2
12,-4,75.2
12,-3,73.2
12,-2,71.5
12,-1,76.8
12,0,29.9
12,1,32.1
12,2,35.3
12,3,38.0
12,4,45.1
12,5,73.4
12,6,83.7
12,7,85.9
12,8,83.8
12,9,85.8
12,10,83.8
12,11,83.7
12,12,85.8
12,13,84.0
12,14,83.0
12,15,85.5
12,16,84.1
12,17,83.3
12,18,90.0
12,19,83.7
12,20,83.7
12,21,87.9
12,22,85.8
13,-22,69.8
13,-21,69.8
13,-20,71.2
13,-19,71.2
13,-18,69.7
13,-17,71.5
13,-16,71.2
13,-15,70.0
13,-14,72.6
13,-13,70.2
13,-12,69.8
13,-11,71.3
13,-10,69.8
13,-9,69.7
13,-8,71.6
13,-7,70.7
13,-6,69.8
13,-5,71.9
13,-4,71.1
13,-3,69.7
13,-2,72.7
13,-1,73.3
13,0,30.7
13,1,34.5
13,2,37.7
13,3,45.5
13,4,74.0
13,5,85.4
13,6,85.8
13,7,83.8
13,8,83.9
13,9,82.2
13,10,81.9
13,11,84.1
13,12,82.1
13,13,81.9
13,14,83.8
13,15,82.0
13,16,81.8
13,17,87.3
13,18,83.7
13,19,82.0
13,20,85.8
13,21,86.6
13,22,85.9
14,-22,68.4
14,-21,69.8
14,-20,68.3
14,-19,68.5
14,-18,69.8
14,-17,69.8
14,-16,68.2
14,-15,71.5
14,-14,68.3
14,-13,68.4
14,-12,69.7
14,-11,68.0
14,-10,68.1
14,-9,69.8
14,-8,69.4
14,-7,68.0
14,-6,71.2
14,-5,69.7
14,-4,68.4
14,-3,70.5
14,-2,69.8
14,-1,69.8
14,0,32.2
14,1,34.6
14,2,42.0
14,3,76.3
14,4,82.0
14,5,85.9
14,6,82.1
14,7,81.6
14,8,80.5
14,9,79.7
14,10,81.8
14,11,80.3
14,12,80.4
14,13,82.2
14,14,81.0
14,15,80.4
14,16,85.8
14,17,81.7
14,18,79.6
14,19,83.8
14,20,83.9
14,21,83.8
14,22,85.4
15,-22,68.0
15,-21,67.1
15,-20,65.7
15,-19,68.5
15,-18,67.1
15,-17,66.4
15,-16,68.1
15,-15,66.4
15,-14,66.4
15,-13,68.4
15,-12,67.2
15,-11,66.3
15,-10,68.5
15,-9,66.4
15,-8,67.0
15,-7,69.1
15,-6,68.4
15,-5,66.4
15,-4,68.0
15,-3,67.0
15,-2,67.0
15,-1,71.5
15,0,34.5
15,1,41.5
15,2,75.8
15,3,80.2
15,4,81.6
15,5,79.5
15,6,80.3
15,7,79.5
15,8,78.5
15,9,79.5
15,10,78.5
15,11,78.5
15,12,79.7
15,13,79.5
15,14,78.5
15,15,83.7
15,16,80.3
15,17,78.5
15,18,82.0
15,19,81.7
15,20,81.6
15,21,83.8
15,22,81.7
16,-22,65.6
16,-21,65.6
16,-20,67.0
