len(N),E,ns
1,-22,61.4
1,-21,62.8
1,-20,61.4
1,-19,60.0
1,-18,62.8
1,-17,61.4
1,-16,61.4
1,-15,64.2
1,-14,61.4
1,-13,61.4
1,-12,58.6
1,-11,61.4
1,-10,61.4
1,-9,61.4
1,-8,61.4
1,-7,61.4
1,-6,55.8
1,-5,60.0
1,-4,58.6
1,-3,55.8
1,-2,61.4
1,-1,60.0
1,0,19.0
1,1,20.4
1,2,21.3
1,3,22.0
1,4,23.5
1,5,25.5
1,6,27.2
1,7,29.8
1,8,32.2
1,9,35.3
1,10,37.7
1,11,40.8
1,12,43.0
1,13,45.5
1,14,48.6
1,15,51.6
1,16,55.8
1,17,56.2
1,18,60.0
1,19,57.2
1,20,60.0
1,21,62.8
1,22,69.7
2,-22,61.4
2,-21,60.0
2,-20,58.6
2,-19,61.4
2,-18,60.0
2,-17,58.6
2,-16,62.8
2,-15,60.0
2,-14,58.6
2,-13,57.2
2,-12,61.4
2,-11,60.0
2,-10,61.4
2,-9,60.0
2,-8,58.6
2,-7,55.8
2,-6,58.6
2,-5,57.2
2,-4,55.8
2,-3,58.6
2,-2,57.8
2,-1,65.6
2,0,18.6
2,1,19.7
2,2,20.9
2,3,22.0
2,4,23.4
2,5,25.7
2,6,27.6
2,7,30.0
2,8,32.2
2,9,35.3
2,10,38.5
2,11,39.9
2,12,43.9
2,13,46.0
2,14,51.6
2,15,55.8
2,16,54.7
2,17,57.2
2,18,55.8
2,19,58.6
2,20,62.8
2,21,68.0
2,22,65.6
3,-22,60.0
3,-21,58.6
3,-20,62.8
3,-19,60.0
3,-18,60.0
3,-17,62.8
3,-16,61.4
3,-15,59.4
3,-14,57.8
3,-13,60.0
3,-12,60.0
3,-11,61.4
3,-10,61.4
3,-9,60.0
3,-8,56.2
3,-7,60.0
3,-6,58.6
3,-5,62.9
3,-4,62.8
3,-3,58.6
3,-2,65.6
3,-1,69.7
3,0,20.4
3,1,22.0
3,2,23.0
3,3,24.1
3,4,25.5
3,5,27.3
3,6,29.2
3,7,32.2
3,8,34.5
3,9,37.5
3,10,40.8
3,11,43.0
3,12,45.5
3,13,50.2
3,14,56.2
3,15,57.2
3,16,58.6
3,17,57.2
3,18,60.0
3,19,73.2
3,20,64.9
3,21,64.2
3,22,61.0
4,-22,57.2
4,-21,60.0
4,-20,62.8
4,-19,57.8
4,-18,60.0
4,-17,58.6
4,-16,57.2
4,-15,55.8
4,-14,58.6
4,-13,57.2
4,-12,60.0
4,-11,60.0
4,-10,58.6
4,-9,54.7
4,-8,57.2
4,-7,56.2
4,-6,55.8
4,-5,57.2
4,-4,57.2
4,-3,62.8
4,-2,65.6
4,-1,68.0
4,0,19.0
4,1,20.4
4,2,21.5
4,3,23.5
4,4,25.7
4,5,27.6
4,6,30.0
4,7,32.2
4,8,35.3
4,9,37.7
4,10,39.9
4,11,43.0
4,12,48.6
4,13,55.8
4,14,54.4
4,15,57.8
4,16,57.2
4,17,58.6
4,18,69.7
4,19,61.4
4,20,61.4
4,21,60.0
4,22,59.4
5,-22,62.8
5,-21,61.4
5,-20,60.0
5,-19,62.8
5,-18,61.4
5,-17,60.0
5,-16,58.6
5,-15,62.8
5,-14,59.3
5,-13,61.4
5,-12,61.4
5,-11,60.0
5,-10,57.2
5,-9,59.3
5,-8,58.6
5,-7,57.8
5,-6,60.0
5,-5,58.6
5,-4,64.5
5,-3,68.0
5,-2,68.0
5,-1,68.0
5,0,22.5
5,1,24.1
5,2,24.5
5,3,25.7
5,4,27.0
5,5,30.7
5,6,31.4
5,7,34.5
5,8,36.9
5,9,39.9
5,10,43.0
5,11,48.4
5,12,57.2
5,13,57.2
5,14,59.4
5,15,58.6
5,16,68.0
5,17,68.0
5,18,61.4
5,19,62.8
5,20,61.4
5,21,60.0
5,22,62.8
6,-22,60.0
6,-21,57.8
6,-20,61.4
6,-19,60.0
6,-18,58.6
6,-17,57.2
6,-16,60.0
6,-15,58.6
6,-14,61.4
6,-13,60.0
6,-12,60.0
6,-11,56.2
6,-10,59.4
6,-9,56.2
6,-8,56.2
6,-7,60.0
6,-6,57.2
6,-5,64.2
6,-4,66.3
6,-3,64.5
6,-2,65.6
6,-1,69.7
6,0,21.5
6,1,22.5
6,2,27.6
