           len(N)=1      2      3      4      5      6      7      8      9     10     11     12     13     14     15
-----------+---------------------------------------------------------------------------------------------------------
N * 10^-20 |     40     41     41     47     30     30     32     42     38     46     41     46     46     46     46
N * 10^-16 |     40     41     40     43     30     31     32     40     37     45     37     47     44     44     46
N * 10^-12 |     40     41     41     44     29     30     30     42     35     42     38     49     44     44     48
N * 10^ -8 |     39     40     38     44     28     27     29     41     37     44     41     49     46     45     49
N * 10^ -4 |     38     38     39     44     29     29     32     41     38     45     41     49     46     46     48
N * 10^ +0 |     38     38     38     39     27     27     29     39     34     43     38     48     43     43     45
N * 10^ +4 |     38     38     38     43     27     27     29     41     34     43     38     47     43     48     46
N * 10^ +8 |     38     38     38     44     27     28     29     40     34     43     46     50     43     46     48
N * 10^+12 |     38     38     38     41     27     27     29     49     36     46     41     50     46     46     48
N * 10^+16 |     38     38     39     42     36     33     32     43     38     46     41     50     46     47     47
N * 10^+20 |     37     41     43     47     29     30     32     43     38     46     41     45     45     46     47
