           len(N)=1      2      3      4      5      6      7      8      9     10     11     12     13     14     15
-----------+---------------------------------------------------------------------------------------------------------
N * 10^-20 |     63     44     46     46     48     48     50     49     60     73     71     71     71     71     71
N * 10^-16 |     54     59     60     60     64     56     59     58     58     65     59     59     77     82     84
N * 10^-12 |     68     44     46     47     47     47     48     47     66     73     68     68     73     73     75
N * 10^ -8 |     57     58     59     58     61     54     56     56     57     63     63     61     75     82     85
N * 10^ -4 |     60     42     44     44     47     47     48     50     63     74     71     70     73     71     75
N * 10^ +0 |     45     46     46     47     52     44     46     46     47     55     50     49     70     71     73
N * 10^ +4 |     57     34     34     35     35     35     38     37     57     63     65     59     60    210     88
N * 10^ +8 |     45     46     47     47     50     44     46     46     47     54    222     80     77     82     84
N * 10^+12 |     55     33     35     34     35     36     38    188     90     75     70     71     72     73     75
N * 10^+16 |     46     45     47     47    135     87     59     57     59     63     61     61     70     82     84
N * 10^+20 |     56     40     78     49     47     48     48     49     57     73     71     71     72     71     75
