           len(N)=1      2      3      4      5      6      7      8      9     10     11     12     13     14     15
-----------+---------------------------------------------------------------------------------------------------------
N * 10^-20 |     65     60     66     61     61     63     65     61     63     64     63     63     64     60     63
N * 10^-16 |     64     63     64     61     61     61     63     65     65     64     60     63     61     59     64
N * 10^-12 |     63     61     63     63     65     59     60     61     60     61     63     61     64     64     67
N * 10^ -8 |     64     61     61     60     61     59     63     61     63     66     66     64     68     63     67
N * 10^ -4 |     64     60     63     60     63     63     66     64     67     66     64     67     66     63     70
N * 10^ +0 |     19     19     20     20     22     21     22     22     23     30     26     26     28     28     31
N * 10^ +4 |     27     26     27     25     29     28     31     31     32     39     36     41     67     75     77
N * 10^ +8 |     38     38     35     35     38     40     41     48     78     84     84     63     64     61     66
N * 10^+12 |     52     52     49     54     90     90     90     82     64     66     64     64     64     61     67
N * 10^+16 |    105    103    103    117     95     66     64     63     63     65     66     63     63     63     66
N * 10^+20 |    112    107     73     64     63     60     65     63     63     65     64     63     65     63     66
