len(N),E,ns
1,-22,130
1,-21,132
1,-20,129
1,-19,129
1,-18,131
1,-17,124
1,-16,128
1,-15,132
1,-14,125
1,-13,129
1,-12,125
1,-11,127
1,-10,129
1,-9,127
1,-8,129
1,-7,120
1,-6,129
1,-5,125
1,-4,141
1,-3,130
1,-2,142
1,-1,142
1,0,44.5
1,1,55.5
1,2,54.5
1,3,56.9
1,4,57.1
1,5,58.1
1,6,55.1
1,7,56.7
1,8,59.3
1,9,61.6
1,10,64.3
1,11,67.4
1,12,70.1
1,13,73.0
1,14,75.6
1,15,78.9
1,16,176
1,17,187
1,18,195
1,19,197
1,20,200
1,21,205
1,22,188
2,-22,128
2,-21,127
2,-20,127
2,-19,129
2,-18,128
2,-17,125
2,-16,129
2,-15,127
2,-14,125
2,-13,122
2,-12,126
2,-11,125
2,-10,125
2,-9,127
2,-8,125
2,-7,125
2,-6,128
2,-5,135
2,-4,135
2,-3,139
2,-2,138
2,-1,138
2,0,42.2
2,1,52.5
2,2,53.4
2,3,54.3
2,4,56.0
2,5,54.1
2,6,56.5
2,7,58.9
2,8,61.7
2,9,64.5
2,10,67.0
2,11,70.1
2,12,73.0
2,13,76.0
2,14,86.1
2,15,172
2,16,182
2,17,188
2,18,190
2,19,196
2,20,197
2,21,162
2,22,142
3,-22,122
3,-21,121
3,-20,125
3,-19,123
3,-18,121
3,-17,124
3,-16,123
3,-15,121
3,-14,122
3,-13,123
3,-12,121
3,-11,121
3,-10,123
3,-9,122
3,-8,121
3,-7,123
3,-6,136
3,-5,133
3,-4,135
3,-3,134
3,-2,130
3,-1,139
3,0,43.0
3,1,52.4
3,2,53.3
3,3,54.8
3,4,51.4
3,5,53.2
3,6,55.2
3,7,57.8
3,8,60.8
3,9,63.3
3,10,65.9
3,11,68.3
3,12,71.4
3,13,81.3
3,14,164
3,15,176
3,16,180
3,17,182
3,18,187
3,19,180
3,20,143
3,21,138
3,22,134
4,-22,117
4,-21,120
4,-20,119
4,-19,117
4,-18,121
4,-17,118
4,-16,117
4,-15,117
4,-14,118
4,-13,118
4,-12,117
4,-11,119
4,-10,118
4,-9,117
4,-8,119
4,-7,128
4,-6,126
4,-5,131
4,-4,127
4,-3,125
4,-2,130
4,-1,131
4,0,42.0
4,1,51.8
4,2,51.7
4,3,49.8
4,4,51.4
4,5,53.6
4,6,55.6
4,7,58.0
4,8,60.8
4,9,63.8
4,10,66.4
4,11,69.2
4,12,79.0
4,13,155
4,14,165
4,15,171
4,16,173
4,17,177
4,18,158
4,19,132
4,20,133
4,21,130
4,22,129
5,-22,117
5,-21,117
5,-20,115
5,-19,120
5,-18,116
5,-17,115
5,-16,116
5,-15,117
5,-14,116
5,-13,114
5,-12,116
5,-11,115
5,-10,114
5,-9,116
5,-8,124
5,-7,123
5,-6,125
5,-5,124
5,-4,122
5,-3,126
5,-2,123
5,-1,126
5,0,43.0
5,1,52.3
5,2,50.2
5,3,51.7
5,4,53.6
5,5,56.0
5,6,58.5
5,7,61.5
5,8,64.9
5,9,67.0
5,10,69.9
5,11,79.5
5,12,152
5,13,161
5,14,167
5,15,169
5,16,168
5,17,140
5,18,129
5,19,131
5,20,129
5,21,129
5,22,129
6,-22,112
6,-21,111
6,-20,113
6,-19,113
6,-18,112
6,-17,112
6,-16,113
6,-15,112
6,-14,112
6,-13,113
6,-12,112
6,-11,111
6,-10,114
6,-9,120
6,-8,119
6,-7,121
6,-6,120
6,-5,117
6,-4,120
6,-3,120
6,-2,119
6,-1,126
6,0,43.2
6,1,48.5
6,2,50.0
6,3,51.7
6,4,53.6
6,5,56.2
6,6,58.9
6,7,61.3
6,8,64.5
6,9,66.8
6,10,75.8
6,11,144
6,12,154
6,13,162
6,14,161
6,15,152
6,16,129
6,17,125
6,18,126
6,19,125
6,20,124
6,21,126
6,22,126
7,-22,110
7,-21,112
7,-20,111
7,-19,110
7,-18,110
7,-17,111
7,-16,110
7,-15,110
7,-14,113
7,-13,110
7,-12,109
7,-11,112
7,-10,117
7,-9,116
7,-8,118
7,-7,117
7,-6,115
7,-5,118
7,-4,117
7,-3,118
7,-2,118
7,-1,120
7,0,46.9
7,1,49.5
7,2,51.3
7,3,53.5
7,4,55.5
7,5,58.4
7,6,60.9
7,7,63.8
7,8,66.6
7,9,75.9
7,10,139
7,11,149
7,12,156
7,13,154
7,14,134
7,15,124
7,16,122
7,17,125
7,18,124
7,19,123
7,20,124
7,21,123
7,22,122
8,-22,108
8,-21,107
8,-20,106
8,-19,106
8,-18,107
8,-17,106
8,-16,105
8,-15,108
8,-14,106
8,-13,106
8,-12,107
8,-11,113
8,-10,113
8,-9,117
8,-8,113
8,-7,111
8,-6,112
8,-5,113
8,-4,114
8,-3,115
8,-2,114
8,-1,109
8,0,46.9
8,1,49.8
8,2,51.7
8,3,53.7
8,4,56.2
8,5,59.4
8,6,62.1
8,7,64.6
8,8,73.6
8,9,133
8,10,142
8,11,152
8,12,141
8,13,123
8,14,120
8,15,117
8,16,120
8,17,120
8,18,119
8,19,120
8,20,120
8,21,119
8,22,120
9,-22,105
9,-21,104
9,-20,104
9,-19,105
9,-18,104
9,-17,103
9,-16,105
9,-15,105
9,-14,104
9,-13,106
9,-12,110
9,-11,111
9,-10,113
9,-9,112
9,-8,109
9,-7,112
9,-6,109
9,-5,112
9,-4,112
9,-3,113
9,-2,106
9,-1,110
9,0,49.2
9,1,52.1
9,2,53.6
9,3,55.6
9,4,57.9
9,5,60.8
9,6,63.4
9,7,72.1
9,8,127
9,9,135
9,10,142
9,11,125
9,12,119
