len(N),E,ns
1,-22,125
1,-21,129
1,-20,126
1,-19,124
1,-18,127
1,-17,122
1,-16,124
1,-15,128
1,-14,121
1,-13,125
1,-12,122
1,-11,122
1,-10,125
1,-9,123
1,-8,125
1,-7,118
1,-6,124
1,-5,122
1,-4,125
1,-3,124
1,-2,133
1,-1,136
1,0,41.7
1,1,50.8
1,2,51.4
1,3,53.1
1,4,54.8
1,5,52.0
1,6,54.4
1,7,57.4
1,8,60.1
1,9,63.0
1,10,65.6
1,11,68.7
1,12,71.2
1,13,74.7
1,14,77.2
1,15,80.1
1,16,175
1,17,186
1,18,195
1,19,195
1,20,198
1,21,201
1,22,185
2,-22,125
2,-21,124
2,-20,123
2,-19,125
2,-18,125
2,-17,123
2,-16,125
2,-15,123
2,-14,123
2,-13,122
2,-12,123
2,-11,124
2,-10,122
2,-9,124
2,-8,122
2,-7,122
2,-6,123
2,-5,130
2,-4,129
2,-3,132
2,-2,133
2,-1,133
2,0,40.0
2,1,47.9
2,2,48.6
2,3,50.0
2,4,52.2
2,5,54.0
2,6,58.7
2,7,61.7
2,8,64.4
2,9,67.2
2,10,70.1
2,11,72.8
2,12,75.6
2,13,78.5
2,14,88.5
2,15,172
2,16,184
2,17,189
2,18,190
2,19,194
2,20,196
2,21,162
2,22,139
3,-22,120
3,-21,119
3,-20,121
3,-19,121
3,-18,119
3,-17,121
3,-16,120
3,-15,119
3,-14,119
3,-13,119
3,-12,118
3,-11,118
3,-10,120
3,-9,118
3,-8,118
3,-7,120
3,-6,144
3,-5,123
3,-4,127
3,-3,126
3,-2,123
3,-1,129
3,0,39.7
3,1,48.1
3,2,50.4
3,3,50.5
3,4,52.7
3,5,53.9
3,6,53.1
3,7,56.0
3,8,58.2
3,9,60.6
3,10,63.1
3,11,66.5
3,12,68.5
3,13,79.0
3,14,160
3,15,169
3,16,177
3,17,178
3,18,182
3,19,173
3,20,137
3,21,133
3,22,129
4,-22,115
4,-21,118
4,-20,117
4,-19,116
4,-18,117
4,-17,116
4,-16,116
4,-15,115
4,-14,117
4,-13,116
4,-12,115
4,-11,116
4,-10,115
4,-9,114
4,-8,118
4,-7,123
4,-6,120
4,-5,123
4,-4,122
4,-3,120
4,-2,123
4,-1,125
4,0,39.7
4,1,47.5
4,2,49.6
4,3,50.5
4,4,52.6
4,5,53.2
4,6,54.2
4,7,55.9
4,8,58.6
4,9,61.3
4,10,64.3
4,11,67.0
4,12,77.0
4,13,153
4,14,162
4,15,168
4,16,169
4,17,174
4,18,154
4,19,128
4,20,128
4,21,126
4,22,125
5,-22,115
5,-21,114
5,-20,113
5,-19,116
5,-18,114
5,-17,113
5,-16,114
5,-15,113
5,-14,112
5,-13,112
5,-12,114
5,-11,113
5,-10,112
5,-9,113
5,-8,118
5,-7,118
5,-6,121
5,-5,119
5,-4,116
5,-3,118
5,-2,118
5,-1,119
5,0,40.4
5,1,49.2
5,2,50.4
5,3,52.6
5,4,53.3
5,5,56.9
5,6,56.2
5,7,59.0
