len(N),E,ns
1,-22,59.1
1,-21,68.7
1,-20,53.2
1,-19,56.4
1,-18,59.0
1,-17,69.9
1,-16,53.4
1,-15,56.1
1,-14,58.9
1,-13,68.7
1,-12,52.9
1,-11,56.1
1,-10,58.9
1,-9,64.7
1,-8,52.3
1,-7,55.1
1,-6,57.0
1,-5,65.8
1,-4,51.7
1,-3,53.8
1,-2,56.6
1,-1,66.7
1,0,61.4
1,1,58.0
1,2,61.0
1,3,71.0
1,4,55.2
1,5,57.7
1,6,60.7
1,7,70.6
1,8,55.0
1,9,57.7
1,10,61.0
1,11,71.9
1,12,55.2
1,13,58.0
1,14,60.8
1,15,70.5
1,16,55.0
1,17,57.7
1,18,60.9
1,19,67.9
1,20,55.5
1,21,56.3
1,22,61.8
2,-22,64.9
2,-21,48.2
2,-20,51.5
2,-19,55.5
2,-18,66.0
2,-17,48.2
2,-16,52.0
2,-15,55.6
2,-14,63.5
2,-13,48.1
2,-12,52.0
2,-11,55.6
2,-10,62.3
2,-9,47.4
2,-8,50.9
2,-7,53.2
2,-6,63.2
2,-5,46.3
2,-4,50.7
2,-3,53.4
2,-2,62.2
2,-1,54.2
2,0,54.6
2,1,56.6
2,2,62.7
2,3,49.5
2,4,54.2
2,5,56.5
2,6,67.2
2,7,49.4
2,8,54.0
2,9,56.4
2,10,67.7
2,11,49.5
2,12,54.2
2,13,56.5
2,14,65.0
2,15,50.0
2,16,53.8
2,17,56.7
2,18,65.3
2,19,49.0
2,20,52.8
2,21,60.0
2,22,66.4
3,-22,49.0
3,-21,49.1
3,-20,52.7
3,-19,64.0
3,-18,45.6
3,-17,49.2
3,-16,52.5
3,-15,61.9
3,-14,45.6
3,-13,49.4
3,-12,52.9
3,-11,60.6
3,-10,44.9
3,-9,48.4
3,-8,51.4
3,-7,62.1
3,-6,44.2
3,-5,47.9
3,-4,51.4
3,-3,61.5
3,-2,50.5
3,-1,53.0
3,0,54.4
3,1,61.2
3,2,46.6
3,3,50.2
3,4,54.4
3,5,64.8
3,6,46.6
3,7,50.3
3,8,54.3
3,9,65.2
3,10,46.4
3,11,50.0
3,12,54.4
3,13,63.0
3,14,46.1
3,15,50.4
3,16,54.3
3,17,62.8
3,18,46.5
3,19,56.2
3,20,55.5
3,21,64.1
3,22,45.7
4,-22,45.2
4,-21,48.3
4,-20,59.3
4,-19,42.2
4,-18,45.3
4,-17,48.4
4,-16,55.3
4,-15,42.0
4,-14,45.2
4,-13,48.4
4,-12,56.2
4,-11,41.6
4,-10,44.7
4,-9,46.3
4,-8,57.5
4,-7,40.1
4,-6,43.6
4,-5,46.3
4,-4,55.7
4,-3,47.6
4,-2,51.0
4,-1,55.9
4,0,55.7
4,1,43.4
4,2,45.0
4,3,48.6
4,4,60.0
4,5,43.5
4,6,45.6
4,7,48.9
4,8,60.7
4,9,43.0
4,10,45.1
4,11,48.7
4,12,58.1
4,13,43.1
4,14,45.5
4,15,49.0
4,16,58.3
4,17,43.1
4,18,54.0
4,19,50.0
4,20,59.0
4,21,42.1
4,22,45.2
5,-22,48.5
5,-21,57.5
5,-20,40.0
5,-19,44.1
5,-18,47.4
5,-17,54.6
5,-16,40.2
5,-15,44.0
5,-14,47.5
5,-13,54.1
5,-12,39.5
5,-11,43.3
5,-10,45.2
5,-9,55.6
5,-8,38.2
5,-7,42.3
5,-6,44.9
5,-5,54.3
5,-4,45.0
5,-3,48.8
5,-2,51.8
5,-1,58.0
5,0,41.9
5,1,43.7
5,2,46.8
5,3,57.4
5,4,41.8
5,5,43.3
5,6,46.7
5,7,58.6
5,8,41.8
5,9,49.5
5,10,46.6
5,11,54.8
5,12,41.8
5,13,43.3
5,14,46.8
5,15,56.1
5,16,48.7
5,17,49.6
5,18,48.3
5,19,57.8
5,20,40.4
5,21,44.0
5,22,48.2
6,-22,56.4
6,-21,43.8
6,-20,39.6
6,-19,44.5
6,-18,53.6
6,-17,43.4
6,-16,39.6
6,-15,44.3
6,-14,52.8
6,-13,42.8
6,-12,39.2
6,-11,41.6
6,-10,53.9
6,-9,41.7
6,-8,37.8
6,-7,41.6
6,-6,53.6
6,-5,46.8
6,-4,44.0
6,-3,46.0
6,-2,56.1
6,-1,47.8
6,0,39.2
6,1,42.7
6,2,54.0
6,3,41.9
6,4,39.3
6,5,42.5
6,6,55.7
6,7,42.1
6,8,39.3
6,9,42.8
6,10,53.6
6,11,42.0
6,12,39.5
6,13,42.3
6,14,52.5
6,15,52.0
6,16,42.8
6,17,44.8
6,18,56.2
6,19,43.5
6,20,40.1
6,21,44.1
6,22,54.9
7,-22,44.9
7,-21,44.6
7,-20,41.1
7,-19,53.2
7,-18,45.2
7,-17,44.7
7,-16,41.0
7,-15,51.4
7,-14,44.7
7,-13,44.4
7,-12,39.2
7,-11,53.0
7,-10,43.1
7,-9,43.1
7,-8,39.2
7,-7,53.0
7,-6,48.9
7,-5,50.0
7,-4,48.0
7,-3,56.0
7,-2,49.2
7,-1,50.0
7,0,40.6
7,1,52.6
7,2,43.5
7,3,43.2
7,4,40.6
7,5,54.9
7,6,43.7
7,7,43.3
7,8,40.6
7,9,52.6
7,10,43.5
7,11,43.1
