len(N),E,ns
1,-22,120
1,-21,123
1,-20,120
1,-19,118
1,-18,122
1,-17,114
1,-16,117
1,-15,121
1,-14,115
1,-13,119
1,-12,119
1,-11,115
1,-10,119
1,-9,116
1,-8,118
1,-7,109
1,-6,116
1,-5,115
1,-4,119
1,-3,109
1,-2,119
1,-1,122
1,0,33.3
1,1,35.8
1,2,37.4
1,3,39.1
1,4,40.4
1,5,42.1
1,6,43.6
1,7,45.2
1,8,46.7
1,9,48.3
1,10,50.3
1,11,52.3
1,12,54.3
1,13,57.1
1,14,59.9
1,15,62.9
1,16,130
1,17,132
1,18,178
1,19,190
1,20,204
1,21,211
1,22,181
2,-22,121
2,-21,118
2,-20,117
2,-19,120
2,-18,119
2,-17,116
2,-16,120
2,-15,118
2,-14,117
2,-13,121
2,-12,118
2,-11,115
2,-10,118
2,-9,119
2,-8,117
2,-7,117
2,-6,118
2,-5,117
2,-4,117
2,-3,119
2,-2,118
2,-1,118
2,0,34.0
2,1,36.4
2,2,38.0
2,3,39.6
2,4,41.1
2,5,42.6
2,6,44.2
2,7,45.8
2,8,47.2
2,9,49.7
2,10,51.6
2,11,54.4
2,12,56.9
2,13,60.6
2,14,71.7
2,15,125
2,16,129
2,17,177
2,18,183
2,19,188
2,20,191
2,21,158
2,22,133
3,-22,114
3,-21,113
3,-20,116
3,-19,114
3,-18,113
3,-17,116
3,-16,114
3,-15,113
3,-14,119
3,-13,114
3,-12,113
3,-11,112
3,-10,114
3,-9,113
3,-8,111
3,-7,114
3,-6,113
3,-5,111
3,-4,114
3,-3,114
3,-2,113
3,-1,119
3,0,34.5
3,1,37.0
3,2,38.4
3,3,39.9
3,4,41.5
3,5,43.1
3,6,44.7
3,7,46.1
3,8,48.0
3,9,49.6
3,10,51.4
3,11,53.8
3,12,56.8
3,13,67.5
3,14,120
3,15,123
3,16,164
3,17,173
3,18,179
3,19,170
3,20,132
3,21,127
3,22,124
4,-22,110
4,-21,113
4,-20,111
4,-19,109
4,-18,112
4,-17,111
4,-16,110
4,-15,109
4,-14,111
4,-13,111
4,-12,108
4,-11,110
4,-10,108
4,-9,108
4,-8,110
4,-7,109
4,-6,108
4,-5,111
4,-4,110
4,-3,108
4,-2,111
4,-1,112
4,0,34.9
4,1,37.3
4,2,38.9
4,3,40.3
4,4,42.0
4,5,43.5
4,6,45.0
4,7,46.7
4,8,48.2
4,9,49.9
4,10,52.0
4,11,54.3
4,12,65.4
4,13,115
4,14,119
4,15,158
4,16,165
4,17,170
4,18,150
4,19,122
4,20,123
4,21,120
4,22,119
5,-22,110
5,-21,109
5,-20,107
5,-19,110
5,-18,108
5,-17,108
5,-16,108
5,-15,108
5,-14,108
5,-13,106
5,-12,108
5,-11,106
5,-10,106
5,-9,109
5,-8,107
5,-7,106
5,-6,108
5,-5,107
5,-4,107
5,-3,109
5,-2,108
5,-1,109
5,0,36.4
5,1,39.1
5,2,40.4
5,3,41.9
5,4,43.4
5,5,45.0
5,6,46.5
5,7,48.0
5,8,49.8
5,9,51.8
5,10,54.3
5,11,64.9
5,12,113
5,13,116
5,14,153
5,15,161
5,16,161
5,17,131
5,18,118
5,19,120
5,20,118
5,21,117
5,22,119
6,-22,105
6,-21,104
6,-20,107
6,-19,111
6,-18,104
6,-17,104
6,-16,105
6,-15,105
6,-14,103
6,-13,105
6,-12,103
