len(N),E,ns
1,-22,80.2
1,-21,75.2
1,-20,81.0
1,-19,80.7
1,-18,80.8
1,-17,77.8
1,-16,80.2
1,-15,81.8
1,-14,77.6
1,-13,73.4
1,-12,71.2
1,-11,78.1
1,-10,76.0
1,-9,81.5
1,-8,79.6
1,-7,73.4
1,-6,76.1
1,-5,75.4
1,-4,81.0
1,-3,75.5
1,-2,85.4
1,-1,82.1
1,0,37.5
1,1,38.2
1,2,40.2
1,3,41.7
1,4,43.1
1,5,45.0
1,6,48.3
1,7,52.0
1,8,54.6
1,9,57.7
1,10,60.3
1,11,63.5
1,12,65.4
1,13,68.2
1,14,71.4
1,15,74.3
1,16,72.9
1,17,73.1
1,18,77.3
1,19,74.3
1,20,76.9
1,21,76.6
1,22,82.9
2,-22,81.0
2,-21,79.2
2,-20,78.6
2,-19,81.2
2,-18,79.2
2,-17,78.5
2,-16,82.1
2,-15,79.6
2,-14,78.1
2,-13,73.2
2,-12,79.4
2,-11,76.7
2,-10,80.4
2,-9,80.9
2,-8,78.8
2,-7,77.6
2,-6,79.4
2,-5,78.9
2,-4,79.0
2,-3,85.5
2,-2,81.6
2,-1,90.1
2,0,37.2
2,1,38.5
2,2,39.7
2,3,40.9
2,4,42.6
2,5,45.5
2,6,48.5
2,7,52.1
2,8,54.5
2,9,57.5
2,10,60.2
2,11,63.3
2,12,65.7
2,13,68.2
2,14,72.3
2,15,72.3
2,16,71.2
2,17,74.6
2,18,72.9
2,19,75.4
2,20,76.2
2,21,87.3
2,22,84.0
3,-22,81.6
3,-21,82.0
3,-20,84.1
3,-19,82.6
3,-18,81.3
3,-17,83.6
3,-16,82.6
3,-15,81.4
3,-14,81.6
3,-13,84.2
3,-12,81.2
3,-11,84.6
3,-10,83.1
3,-9,82.0
3,-8,80.1
3,-7,84.4
3,-6,82.5
3,-5,81.8
3,-4,88.3
3,-3,83.5
3,-2,91.2
3,-1,95.1
3,0,38.2
3,1,39.3
3,2,40.8
3,3,42.1
3,4,43.4
3,5,44.8
3,6,47.8
3,7,51.9
3,8,54.7
3,9,57.8
3,10,61.0
3,11,63.5
3,12,65.7
3,13,69.7
3,14,71.5
3,15,71.5
3,16,74.7
3,17,73.1
3,18,74.9
3,19,84.6
3,20,85.9
3,21,85.8
3,22,83.9
4,-22,79.1
4,-21,82.3
4,-20,80.9
4,-19,79.0
4,-18,82.7
4,-17,80.5
4,-16,79.5
4,-15,78.1
4,-14,80.1
4,-13,79.8
4,-12,81.4
4,-11,81.4
4,-10,80.1
4,-9,78.3
4,-8,80.4
4,-7,79.6
4,-6,79.3
4,-5,85.9
4,-4,81.0
4,-3,88.9
4,-2,92.8
4,-1,92.2
4,0,37.7
4,1,38.5
4,2,40.1
4,3,41.1
4,4,42.7
4,5,43.9
4,6,46.6
4,7,51.5
4,8,53.9
4,9,56.9
4,10,60.1
4,11,62.6
4,12,66.8
4,13,69.9
4,14,69.4
4,15,72.2
4,16,71.3
4,17,75.1
4,18,87.0
4,19,82.3
4,20,83.6
4,21,81.8
4,22,81.3
5,-22,82.8
5,-21,80.9
5,-20,80.3
5,-19,83.6
5,-18,81.1
5,-17,80.4
5,-16,79.3
5,-15,81.8
5,-14,80.3
5,-13,83.0
5,-12,82.5
5,-11,82.0
5,-10,79.1
5,-9,82.5
5,-8,80.6
5,-7,81.6
5,-6,87.6
5,-5,82.2
5,-4,90.1
5,-3,94.1
5,-2,93.6
5,-1,88.6
5,0,39.2
5,1,40.1
5,2,41.7
5,3,43.2
5,4,44.7
5,5,47.0
5,6,49.6
5,7,53.1
5,8,56.2
5,9,58.6
5,10,61.2
5,11,65.9
5,12,69.9
5,13,70.0
5,14,72.3
5,15,71.5
5,16,81.5
5,17,85.9
5,18,82.1
5,19,83.9
5,20,82.8
5,21,81.4
5,22,83.9
6,-22,77.4
6,-21,76.8
